"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat"
"Saint Francis Medical Center","IMPLANT SALINE SM RND MOD PROF 480CC",8366.25,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","IMPLANT SALINE SM RND MOD PROF 600CC",8613.6,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","SIZER SALINE HI PROFILE 350-380CC",654.75,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","SIZER SALINE HI PROFILE 550-590CC",654.75,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","SIZER SALINE IMPLANT 480CC",654.75,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","SODIUM CHLORIDE / SALINE 0.9 % 10 ML VIAL INJ",5.3835,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","SYRINGE 0.9 SALINE FLUSH 10ML     100 / BOX",2.91,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Texas County Memorial Hospital","NS 0.45%  (1/2 NORMAL SALINE) 1000ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 0.9% (NORMAL SALINE) IVPB   50 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 0.9% (NORMAL SALINE) IVPB  100 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 0.9% (NORMAL SALINE) IVPB  250 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 0.9% (NORMAL SALINE) IVPB  500 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","IRRIGATION NORMAL SALINE  500 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","IRRIGATION NORMAL SALINE 1000 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","IRRIGATION NORMAL SALINE 2000 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 0.9% (NORMAL SALINE) IV 1000 ML",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","IRRIGATION NORMAL SALINE 4000 ML",34.8,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS (NORMAL SALINE) 10ML FLUSH",15,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","SALINE 4.5OZ ENEMA [ADULT] [FLEETS]",10,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","SALINE 2.25OZ ENEMA [PEDIATRIC] [FLEETS]",10,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS 3% [HYPERTONIC SALINE] 500ML BAG",30,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Texas County Memorial Hospital","NS (NORMAL SALINE)0.20% 1000 ML: 1/4 NS",49,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314
"Truman Medical Center Hospital Hill","1/2 Normal Saline with heparin 0.5 units/ml 100 ml",2.16,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","SOL SALINE ASEPTIC FLUID",56.88,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","IMP BREAST MOD SALINE 270CC",122.5,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> RT",257.25,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> RT",257.25,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> LT",257.25,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> LT",257.25,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> BI",463.05,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","19499 Inj/Extr Saline Breast Expandr -> BI",463.05,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","Indomethacin/PF Normal Saline IVPB (NSY)",634.73,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Truman Medical Center Hospital Hill","Indomethacin/PF Normal Saline IVPB (NSY)",642.6,"2301 Holmes Street, Kansas City, MO, 64108",64108,"Kansas City",238,NA,74957,694159,-94.575775,39.085087
"Western Missouri Medical Center","Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography",132.615,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Percutaneous lysis of epidural adhesions using solution injection (eg, hypertonic saline, enzyme) or mechanical means (eg, catheter) including radiologic localization (includes contrast when administ",1223.775,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Saline infusion sonohysterography (SIS), including color flow Doppler, when performed",496.125,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Saline infusion sonohysterography (SIS), including color flow Doppler, when performed",88.725,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Saline infusion sonohysterography (SIS), including color flow Doppler, when performed",230.475,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Saline infusion sonohysterography (SIS), including color flow Doppler, when performed",230.475,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography",141.75,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography",491.085,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Percutaneous lysis of epidural adhesions using solution injection (eg, hypertonic saline, enzyme) or mechanical means (eg, catheter) including radiologic localization (includes contrast when administ",551.25,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Saline infusion sonohysterography (SIS), including color flow Doppler, when performed",88.725,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Smear, primary source with interpretation; wet mount for infectious agents (eg, saline, India ink, KOH preps)",9.45,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography",467.7,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
"Western Missouri Medical Center","Smear, primary source with interpretation; wet mount for infectious agents (eg, saline, India ink, KOH preps)",9,"403 Burkarth Road, Warrensburg, MO, 64093",64093,"Warrensburg",69,NA,9105,238610,-93.72374,38.765457
