CHG DESCRIPTION,CHG AMT
STENT INT ILIAC BRANCH16X,"12,750.00 "
IVC FILTER RETRIEVAL KIT,"2,025.00 "
RESURFACING PATELLA SZ 1,"1,350.00 "
TRACHEOBRONCHIAL STENT SI,850.00 
LINV OSC GTS SMOOTHER LHP,149.00 
LINV DS RECIP 13X76X0.89,107.00 
LINV OSC 21X90X1.27L,149.00 
LINV OSC 13X90X1.27F,149.00 
STRY OSC GTS SMOOTHER ST,149.00 
STRY DS REC 12.5X76X1.19L,139.00 
STRY 76542K 13/21X90X1.27,149.00 
TIBIAL SYMMET CONE AUGMEN,"16,391.00 "
STEM MODULAR HIP SYSTEM,"16,877.00 "
C2 HAMMERTOE IMPLANT MEDI,"4,998.00 "
PEG PARTIAL THREAD 2.5X18,476.00 
PEG PARTIAL THREAD 2.5X22,553.00 
IPO GRAFT AAA ENDOPROTHES,"19,168.00 "
DRILL BIT AO,488.00 
GRAFT EXCLUDER CONTRALETE,"19,168.00 "
SCREW 1.5X10MM CORTICAL,353.00 
JDRILL-1.2 DRILL 1.6MM,510.00 
JDRILL-1.2 DRILL 2.0MM,510.00 
DRILL BIT 4.9MM SHORT,438.00 
DRILL BIT 3.2MM,740.00 
PEG DEPUY HAND INNOVATION,553.00 
DRILL BIT 2.0MM,812.00 
DRILL BIT 2.5MM,651.00 
DRILL BIT 2.7MM,697.00 
PEG 2.5X22MM,553.00 
DRILL BIT 2.7 AO ATTACH,"1,296.00 "
DRILL BIT SLEEVE SHORT 4.,"1,800.00 "
ACP KIT SERIES 1,"1,063.00 "
ETHEBOND GREEN 1X48 EN-S,199.00 
FLOWMATE PROCEDURAL KIT,264.00 
DRILL BIT 3.2MM QC/300MM,846.00 
BURR 6MM,337.00 
STENT EXLUDER TRUNK 16 FR,"33,000.00 "
IPO EXCLUDER AAA INTERNAL,"19,168.00 "
DRILL 2.4MM PROXIMAL,"1,170.00 "
CANNULATED COUNTERSINK 2.,"1,665.00 "
DEMAYO LEG WRAP,161.00 
VASOVIEW ACCESSORY KIT EV,"3,658.00 "
AZUR CX 18 DETACHABLE 5MM,"4,275.00 "
AZUR HELICAL DETACHABLE 1,"3,842.00 "
AZUR HELICAL DETACHABLE 1,"3,842.00 "
AZUR CX DETACHABLE 018 4M,"4,275.00 "
AZUR CX DETACHABLE 018 6M,"4,275.00 "
AZUR CX DETACHABLE 035 4M,"5,831.00 "
AZUR CX DETACHABLE 035 8M,"5,831.00 "
AZUR CX DETACHABLE 035 10,"5,831.00 "
AZUR CX DETACHABLE 035 13,"5,831.00 "
AZUR CX DETACHABLE 035 16,"5,831.00 "
DRILL BIT 4.3MMX296,"1,330.00 "
AZUR CX 18 DETACHABLE 12M,"4,275.00 "
PEG SMOOTH 2X20MM,442.00 
PEG SMOOTH 2X22MM,442.00 
PEG SMOOTH 2X24MM,442.00 
PEG SMOOTH 2X26MM,442.00 
PEG SMOOTH 2X28MM,442.00 
3.5MM SHORT DRILL BIT W Q,532.00 
2MM DRILL BIT CALIBRATED,404.00 
2.5MM DRILL BIT,362.00 
ANKLE DISTRACTOR STRAP,250.00 
PEG FULL THREAD 2.5X22MM,442.00 
DRILL BIT 2.3MM DRILL-2.3,510.00 
DRILL BIT 2.0MM DRILL-2.0,510.00 
DRILL BIT 2.3MM DRILL-2.0,510.00 
DRILL BIT NON CANNULATED,510.00 
DRILL BIT NON CANNULATED,510.00 
DRILL BIT CANNULATED 2MM,659.00 
DRILL BIT 2MM DRILL-2.1/1,659.00 
DRILL BIT 2.9MM PROXIMAL,"1,170.00 "
DRILL BIT 2.5MM SHORT PIL,872.00 
ABSORBABLE LAPROCLIP 12MM,362.00 
ABSORBABLE LAPROCLIP 8MM,362.00 
INTERMEDIATE DRILL 2MM SI,"1,238.00 "
DRILL 8MM BLUE,"1,238.00 "
DRILL 10MM GREEN,"1,238.00 "
DRILL 12MM FUCHSIA,"1,238.00 "
DRILL 14MM GOLD,"1,238.00 "
DRILL 2MM U PLUS,"1,377.00 "
DRILL 6MMX2MM U PLUS 90,"1,377.00 "
DRILL 8MMX2MM U PLUS 90,"1,377.00 "
DRILL 10MMX2MM U PLUS 90,"1,377.00 "
DRILL 12MMX2MM U PLUS 90,"1,377.00 "
DRILL 14MMX2MM U PLUS 90,"1,377.00 "
ORTHOMED BENDING TEMPLATE,434.00 
KICK STAND 6MM WEDGE-6,213.00 
4.0MM SHORT AO PILOT DRIL,710.00 
IPO EXCLUDER GORE AAA END,"33,000.00 "
INTEGRA TE RECTANGLE 100C,"5,100.00 "
TISSUE EXPANDER,"5,100.00 "
NEXGEN LPS-FLEX FIXED PRO,"3,375.00 "
INTEGRA MESHED BILAYER WO,"51,003.00 "
DRILL BIT 4.3X300MM,"1,607.00 "
DRILL BIT 3.2X270MM,"1,607.00 "
DRILL BIT 4.3X180MM,"1,350.00 "
DRILL BIT 3.2X180MM,"1,148.00 "
SUTURE 2-0 MONODERM 30CM,49.00 
2.7MM COUNTERSINK QUICK R,"1,440.00 "
IPO ENDURANT STENT GRAFT,"21,280.00 "
ARTIC SURF LPS-FLEX FIXED,"3,375.00 "
G7 PPS LTD ACET SHELL 54F,"4,500.00 "
G7 HI-WAL ARCOMXL LNR 40M,"4,050.00 "
G7 HI-WALL E1 LINER 36MM,"5,525.00 "
G7 PPS LTD ACET SHELL 52E,"4,500.00 "
CER OPTION TYPE 1 TPR SLE,425.00 
TPRLC 133 MP TYPE 1 PPS S,"8,500.00 "
LITHOVUE STANDARD DEFLECT,"6,375.00 "
SUTURE STRATAFIX SYMMETRI,91.00 
AMNIOFIX 2.0 X 12.0,"4,473.00 "
END CAP,750.00 
DRILL-1.6/095C,659.00 
SURG VEST WO CUPS SZ 2,197.00 
STRATTICE 6X8,"5,462.00 "
END CAP STRYKER,750.00 
BLADE OSCILLATING SAW 90X,149.00 
BLADE OSCILLATING SAW 90X,149.00 
INSERT-CS TRIATHLON X3 TI,"4,500.00 "
DRILL HIGH PERFORMANCE BO,495.00 
HOOK REV INSTR SYSTEM 6MM,"2,017.00 "
HOOK REV INSTR SYSTEM 10M,"3,033.00 "
TIP ULTRA DRIVE 180MM EXT,"2,673.00 "
ASSEMBLY IRRIGATION TUBIN,574.00 
VERSYS DISTAL CENTRALIZER,447.00 
DVR LOCK NARROW R,"4,658.00 "
TIP ULTRA-DRIVE 7.0MM HEL,"2,673.00 "
BIPOLAR SHELL 55MM OD,"2,250.00 "
KIT RIGHT KIVA VCF TREATM,"13,373.00 "
KIT LEFT KIVA VCF TREATME,"13,373.00 "
KIT RIGHT KIVA VCF ADDITI,"10,625.00 "
KIT LEFT KIVA VCF ADDITIO,"10,625.00 "
PILOT KIVA RIGHT,"3,130.00 "
PILOT KIVA LEFT,"3,135.00 "
NEEDLE COREPLUS BIOPSY 15,372.00 
NEEDLE COREPLUS BIOPSY 11,372.00 
DRILL BONE 7 GA 17CM,"1,042.00 "
NEEDLE KIVA BEVEL TIP ACC,283.00 
NEEDLE KIVA TROCAR TIP AC,283.00 
NEEDLE KIVA ULTRAFIX CEME,819.00 
CEMENT KIVA MIXING INJECT,"1,751.00 "
CEMENT GENTAMICIN BONE,629.00 
PLATFORM TIBIAL TRAY ROTA,"5,100.00 "
PLATFORM TIBAL INSERT ROT,"4,500.00 "
FEMORAL CRUCIATE RETAININ,"7,013.00 "
FEMORAL CRUCIATE RETAININ,"7,013.00 "
INSERT TIBIAL ROTATING PL,"4,500.00 "
TRAY TIBAL ROTATING PLATF,"5,100.00 "
SHELL ACETABULAR SECTOR,"5,950.00 "
LINER ACETABULAR 32MM X 5,"4,500.00 "
FEMORAL POSTERIOR STABILI,"4,463.00 "
TRAY TIBIAL ROTATING PLAT,"5,100.00 "
INSERT TIBIAL ROTATING PL,"4,500.00 "
INSERT TIBIAL ROTAING PLA,"4,500.00 "
INSERT TIBIAL ROTATING PL,"4,500.00 "
IMPLANT SMART TOE ANGLED,"4,487.00 "
INSERT PLATFORM TIBAL ROT,"4,500.00 "
DRILL BIT 5.0MM CANNULATE,"1,346.00 "
COMPONENT RESURFACING PAT,"1,800.00 "
INSERT TIBIAL BEARING PS,"4,500.00 "
INSERT PLATFORM TIBAL ROT,"4,500.00 "
FEMORAL CRUCIATE RETAININ,"7,013.00 "
NAIL Z CMP 11.5MM X 34CM,"7,394.00 "
CUFF DISP DP/SB 30,60.00 
NAIL 11MM X300MM TIBIAL,"9,006.00 "
LINER ACETABULAR 28MM X 5,"7,998.00 "
CATHETER TORCON NB ADVANT,425.00 
DRILL BIT 1.2MM JDRILL-1.,510.00 
DRILL BIT 2.7MM STANDARD,978.00 
CUP SUTURE UNIVERS REVERS,"5,465.00 "
BLADE SAW STRYK 19X90X1.1,149.00 
BLADE SAW STRYK 25X90X1.1,149.00 
GRAFT EPIFIX 2X4CM,"5,738.00 "
CONNECTOR URETERAL CATHET,70.00 
IN.PACT ADMIRAL 4.0 X 120,"6,630.00 "
DISTAL CENTRALIZER 13MM,447.00 
WEDGE TEMPORARY KICK STAN,213.00 
INSERT MAKO X3 UNI ONLAY,"4,500.00 "
TUBE IRRIGATION POLY STER,179.00 
PROBE FIAPC WITH FILTER 1,910.00 
DRILL BIT 1.6MM/090 DRILL,510.00 
DRILL BIT DRILL-3.2/150,510.00 
DRILL BIT DRILL-4.0/125,510.00 
TOURNIQUET 18X3 5921-018-,68.00 
TAPER VERSA-DIAL/COMP TI,425.00 
STEM COMP PRIMARY 9MM MIN,"19,125.00 "
DRILL 3.1 X 285 703585,824.00 
DRILL 2.5 X 285 703586,824.00 
STONE RETRIEVAL BASKET DA,884.00 
FEMORAL POSTERIOR STABILI,"6,375.00 "
DRILL BIT 2.5MM CALIBRATE,362.00 
DRILL STEPPED 2.5MM 3MM P,646.00 
DRILL STP 2.0MM FR 2.5MM,646.00 
SHELL HEMISPHARICAL CLUST,"4,675.00 "
INSERT 36MM H POLYETHYLEN,"4,675.00 "
SHELL ACETABULAR 62MM 121,"5,950.00 "
LINER ACETABULAR 36MM 122,"4,500.00 "
CONNECTOR Y 1/2 X 3/8  X3,51.00 
SEALER ENSEAL X1 LARGE JA,"2,520.00 "
KIT PASTA REP AR-1934PRK,"5,037.00 "
STEM LOGIC OFFSET EXT COU,"2,455.00 "
STEM LOGIC EXT 12MMX80MM,"6,815.00 "
INSERT LOGIC FIT RBK AUGM,"5,744.00 "
LGC TIBIAL FIT TRAY CEM,"14,083.00 "
FEMORAL POSTERIOR STABLLI,"6,375.00 "
DRILL BIT 2.0MM QC 100MM,353.00 
DRILL BIT 1.8MM DEPTHMARK,686.00 
SPACER TAPERED 12/14 TAPE,638.00 
FLEXIBLE OSTEOTOME 6210-0,"1,447.00 "
AFX0MAIN BODY 22X70X30X16,"41,997.00 "
OVATION LIMB 22X45,"13,497.00 "
STIFF WIRE C0065,702.00 
SUTURETAKS 2.4 X 12,260.00 
CORD MONOPOLAR ENERGY INS,"1,215.00 "
CORD BIPOLAR ENERGY INSTR,"1,215.00 "
TRAY ENDOSCOPE STERILIZAT,"4,675.00 "
DRILL 2.4 X 140MM SOLID M,"1,130.00 "
VIABAHN BALLOON EXPANDABL,"13,834.00 "
DRILL BIT 2.7MM SHORT W/Q,377.00 
DRILL BIT 5MM THREE-FLUTE,"1,364.00 "
OSTEOTOME MEDIUM ROUND,"2,600.00 "
DRILL BIT 1.3 S 100MM SOL,"1,063.00 "
DRILL BIT 1.6 X 110MM SOL,"1,063.00 "
DRILL BIT OVER 2.5 X 100M,"1,063.00 "
WIRE OLIVE SMOOTH 1.3MM,578.00 
STEM LONG CURVED CEMENTED,"20,174.00 "
SLEEVE STRYKER MRH KNEE T,"12,105.00 "
STEM TITANIUM FLUTED,"4,398.00 "
HAWK 1 LX LG VESSEL EXT T,"15,492.00 "
TIP COVER ACCESSORY DAVIN,70.00 
5MM TO 8MM UNIVERSAL SEAL,63.00 
8MM BLADELESS CBTURATOR L,128.00 
VESSEL SEALER DAVINCI,"2,678.00 "
ENDOWRIST STAPLER 45 GREE,765.00 
ENDOWRIST STAPLER 45 WHIT,765.00 
ENDOWRIST STAPLER 45 BLUE,765.00 
ENDOWRIST STAPLER 30 GRAY,727.00 
ENDOWRIST STAPLER 30 BLUE,727.00 
ENDOWRIST STAPLER 30 WHIT,727.00 
ENDOWRIST STAPLER 30 GREE,727.00 
12MM BLADELESS OPTICAL OB,149.00 
12MM BLADELESS OPTICAL OB,149.00 
MASKA LASERFIBER MICRON 2,"1,125.00 "
LINER G7 HI-WALL ARCOMXL,"4,050.00 "
TLOC 133 MP SP TPI PPS HO,"8,500.00 "
LINER G7 HIWALL E1 36MM E,"5,525.00 "
SHELL G7 PPS LTD ACET 52E,"4,250.00 "
FEMORAL CRUICIATE RETAINI,"7,013.00 "
STEM VERSYS ADVOCATE CEME,"7,650.00 "
COMPONENT TOTAL STABLIZER,"21,152.00 "
GRAFT EXCLUDER ENDOPROSTH,"33,057.00 "
GRAFT EXCLUDER AA ENDOPRO,"38,225.00 "
GRAFT EXCLUDER AA ENDOPRO,"19,648.00 "
GRAFT VIABAHN ENDOPROSTHE,"16,958.00 "
ROD 5.5 500MM 8690024,"3,528.00 "
DRILL BIT 5.0X340 1806-50,786.00 
ARM DRAPE DAVINCI,221.00 
COLUMN DRAPE DAFINCI,63.00 
LINER G7 HI-WALL ARCOMXL,"4,050.00 "
SHELL G7 PPS LTD ACET 58G,"4,250.00 "
KIT LARGE PEC BUTTON,"10,022.00 "
PSN MC VE ASF R 13MM 8-11,"4,675.00 "
GRAFT AUGMENT BONE 3CC 52,"14,854.00 "
12MM STAPLER CANNULA SEAL,85.00 
8MM BLADELESS OBTURATOR O,128.00 
STEM TPRLC 133 TYPE1 PPS,"8,500.00 "
LINER GY NEUTRAL E1 36MM,"5,525.00 "
PIN XTRAFIX LARGE 5X20X65,549.00 
PIN CLAMP XTRAFIX LARGE B,"2,147.00 "
PIN CLAMP XTRAFIX LARGE B,"4,590.00 "
POST 30 DEGREE ANGLED 11M,500.00 
INSERT TIBIAL BEARING SIZ,"4,250.00 "
END CAP 4151200003,"1,638.00 "
DRILL BIT 9.0 STEP,"1,341.00 "
DRILL BIT 4.3 SHORT,"1,652.00 "
DRILL BIT 4.3 LONG,"1,652.00 "
REDUCER 12-8MM DAVINCI XI,107.00 
BUSHING SEF33400,587.00 
FRAME SALVATION 200MM SEF,"32,561.00 "
FEMORAL POSTERIOR STABILE,"6,375.00 "
INSERT TIBIAL ROTATING PL,"4,250.00 "
INSERT TIBIAL ROTATING PL,"4,250.00 "
FEMORAL CRUICIATE RETAINI,"7,013.00 "
STENT GRAFT SYSTEM LIMB,"20,087.00 "
TAPER M/L 12.5 STD,"8,713.00 "
GIRDLE HIGH THIGH W 4IN W,207.00 
AFX DEVICE BEA22-60,"48,997.00 "
DRILL BIT 3.5MM 58850035,"1,228.50 "
DRAPE CARDIOVASCULAR SPLI,59.00 
SURURE VLOC BL 6  GS-21,123.00 
BLADE SMALL RASP DOWNSET,463.00 
BLADE CROSS CUT FISSURE 1,610.00 
BLADE CROSS CUT FISSURE 1,610.00 
DRILL BIT 5MM CARBIDE ROU,"1,688.00 "
DRILL BIT 6MM CARBIDE ROU,"1,688.00 "
ARTIC SURF LPS-FLEX FIXED,"3,375.00 "
BLADE EXPLANT 52MM LONG,"2,723.00 "
BLADE EXPLANT 54MM LONG,"2,723.00 "
KIT VIZADISC KNEE TRACKIN,985.00 
CLIP AMSPACH EMAX2 IRRIGA,237.00 
MOLD FEMORAL KNEE CEMENT,"8,135.00 "
SUCTION IRRIGATOR 8MM DAV,"1,193.00 "
CATHETER ON-Q EXPANSION K,506.00 
PUMP ON-Q PAIN 400ML SELE,"1,494.00 "
PATCH DECELLULARIZED DERM,"16,775.00 "
PROBE LITHOTRIPSY SHOCKPU,"2,939.00 "
WASHER 390019,138.00 
CORKSCREW FT DISP 4.5X14M,744.00 
BAR CARBON FIBER 6MMX150M,"1,332.00 "
CABLE NERVE STIMULATION T,170.00 
CANNULA TRIPLEDAM INST 7M,136.00 
STEM FEMORAL POROUS DISTA,"8,500.00 "
STEM FEMORAL POROUS DISTA,"8,500.00 "
GLENOID PEGGED 52MM DIAM,"5,440.00 "
CANNULA ACCUPORT 11GAX120,"1,778.00 "
BLADE SAGITTAL STANDARD M,649.00 
BLADE SAGITTAL NARROW MAK,649.00 
BAR EXTERNAL FIXATOR 6X25,"1,755.00 "
KIT MAKO LEG POSITIONER,179.00 
ADAPTER HIP NECK LENGTH,"1,341.00 "
SPACER MOLD HIP HEAD CEME,"5,020.00 "
TROCAR KIT OPTICAL ACCESS,196.00 
SUTURE STRATAVIX 0 SPIRAL,118.00 
DRILL CALIBRATED 4.3MM SH,360.00 
DRILL FREE HAND 4.3MM 152,326.00 
SUTURE TAPE 1.3MM W/TAILS,149.00 
PATCH EVERLAST 2 INCH,"3,488.00 "
MAGNUM 2 KNOTLESS IMPLANT,"1,778.00 "
SUTURE SMARTSTITCH PERFEC,744.00 
SUTURE SMARTSTITCH PERFEC,744.00 
CONNECTOR SMARTSTITCH PP,680.00 
GRAFT EXCLUDER CONTRALATE,"19,648.00 "
DRILL FREE HAND TARG 4.3M,303.00 
PATELLA POLY NEXGEN STND,"1,733.00 "
CABLE BEADED AND SLEEVE S,"1,441.00 "
TROCHANTERIC GRIP W/2 CAB,"4,685.00 "
WOUND MATRIX CYTAL 6-LAYE,"5,394.00 "
MICROMATRIX 30MG,431.00 
WOUND MATRIX CYTAL 3-LAYE,"9,089.00 "
MICROMATRIX 10MG POWDER,"1,354.00 "
MICROMATRIX 200MG POWDER,"2,707.20 "
GRAFT NERVE AVANCE 4-5MM,"17,763.00 "
BASEPLATE TIBIAL TRIATHLO,"6,800.00 "
STEM ACCOLADE II 127 NECK,"10,413.00 "
INSERT TIBIAL ROTATING PL,"4,250.00 "
GRAFT MAIN BODY ENDOLOGIX,"48,997.00 "
ARTHRECTOMY SYSTEM,"15,492.00 "
DRILL TW FOR 5MM 1.5X50MM,643.00 
PEG TORX THREADED 32MM,425.00 
CANNULA PASSPORT BUTTON 8,136.00 
CONE TIBIAL SYMMETRIC AUG,"16,391.00 "
INSERT TIBIAL ROTATING PL,"4,250.00 "
LINER G7 HI-WALL E1 40MM,"5,525.00 "
CANNULA ARTHREX PASSPORT,136.00 
STEM FLUTED TRIATHLON 19X,"4,919.00 "
FEMORAL POSTERIOR AUGMENT,"4,640.00 "
CONE TIBIAL AUGMENT TRIAT,"17,529.00 "
CONT FEMORAL AUGMENT SZ 7,"18,668.00 "
REAMER INBONE TALAR 10MM,"1,260.00 "
BLADE SAW STRYKER NARROW,872.00 
INBONE TALAR DONE SIZ 1 S,"22,586.00 "
INFINITY TIBIAL TRAY SIZE,"22,299.00 "
INFINITY POLY INSERT SZ 1,"12,810.00 "
ROD HUNTER TENDN 4MMX24.5,"8,381.00 "
DRILL 2.1/110C,659.00 
DRILL 2.4/120C,659.00 
STENT FILFORM DOUBLE PIGT,"4,250.00 "
INSERT MAKO X3 ONLAY TIBI,"4,250.00 "
AUGMENT TIBIAL BLK RT LAT,"5,382.00 "
AUGUMENT IMP SYS IMBRACE,"5,079.00 "
STEM 8.0MMX60MM,"8,598.00 "
STEM COMPR 8MM HUM FRACT,"15,938.00 "
SLEEVE COMP FX HUM POS 9M,"1,031.00 "
BK PROBE RENTAL,400.00 
VIABAHN ENDOPROSTHESIS VB,"21,833.00 "
EVOLUTION MP CS SZ 5 14MM,"1,350.00 "
TI MATRIXRIB IM SPLINT SM,"3,182.00 "
TI MATRIXRIB IM SPLNT MED,"3,182.00 "
TI MATRIXRIB IM SPLINT LG,"3,182.00 "
DRILL BIT 2.2MM J-LATCH 8,974.00 
DRILL BIT J-LATCH 5.5MM S,"1,701.00 "
MATRIXRIB IM SPLINT TEMPL,"2,695.00 "
MATRIXRIB IM SPLINT TEMPL,"2,695.00 "
TPRLC 133 TI PPS SO 15X15,"8,500.00 "
N-FORCE 7.3MM 2 N-FORCE B,"19,750.00 "
EXTERNAL NEUROSTIMULATOR,"1,800.00 "
WOUND MATRIX 6-LAYER 7X10,"12,105.00 "
AUGUMENT TIBIAL SYMMETRIC,"16,391.00 "
STEM CEMENTED 15MMX50MM,"4,697.00 "
INSERT TRIATHLON X3 STABL,"9,393.00 "
STEM FLUTED 22MMX100MM TS,"4,919.00 "
EXCLUDER AAA ENDOPROSTHES,"33,825.00 "
AUGMENT TIBIAL HALF BLOCK,"4,378.00 "
STEM FLUTED 20MMX100MM TS,"4,919.00 "
AUGMENT FEMORAL DISTAL RT,"4,416.00 "
INSERT TOTAL STABILIZER T,"9,393.00 "
INTEGRA MESHED BILAYER 4X,"32,211.00 "
MATRIX CYTAL BURN,"3,596.00 "
STEM TM REVERSE 12MMX130M,"17,500.00 "
PSN ASF PS 18MM VE R 6-9,"4,675.00 "
DRILL BIT LAG SCREW PPF91,"3,045.00 "
DRILL BIT 04.2X300MM,"1,366.00 "
ACETABULAR SHELL SECTOR 4,"5,950.00 "
ACUSEAL 4-6MM 45CM,"6,371.00 "
INSERT TRIATHLON TIB BEAR,"4,250.00 "
DERMASPAN ACD 4X7CMX2.8-3,"8,925.00 "
DRILL BIT FAST 2.0MM MINI,238.00 
DRILL BIT FAST 2.0MM MINI,238.00 
DRILL BIT 2.5MM MINI-QUIC,238.00 
TAPER M/L 15 STD,"8,712.50 "
IN PACT ADMIRAL 5.0 X 40M,"5,992.50 "
REAMER METACARPAL,"1,535.00 "
RASP 16MM DORSAL WINDOW,"1,427.00 "
DRILL BIT 3.0MM CANNULATE,867.00 
DUAFIT PIP 10 SIZE 2,"5,100.00 "
STAPLE COMPRES W/INST 10X,"6,354.00 "
REAMER 2 IN 1 1.6,957.00 
INSTRUMENTS DUAFIT SET 17,"2,250.00 "
AUGMENT NEXGEN TIB BLKRT,"5,382.00 "
AUGMENT NEXGEN TIBIAL BLO,"5,382.00 "
AUGMENT NEXGEN POSTERIOR,"4,554.00 "
AUGMENT NEXGEN DISTAL BLO,"4,554.00 "
STEM NEXGEN STRAIGHT EXT,"5,113.00 "
AUGMENT NEXGEN PRECOAT BL,"4,554.00 "
NEXGEN LCCK ART SURF CD 3,"9,617.00 "
"INST SET (DRILL,OLIVE WIR",532.00 
CRUCIATE RETAINING FEMORA,"6,800.00 "
OSTEOTOME FLEX LONG 2020,"4,275.00 "
BLADE STRAIGHT 30MM X STR,55.00 
PIN .101X2.5  METATARSAL,404.00 
PIN .062X2.5  PHALANX REA,404.00 
REAMER 20MM CANNULATED ME,"5,419.00 "
REAMER 20MM CANNULATED PH,"5,419.00 "
DRILL BIT 1.5MM QUICK REL,787.00 
EXCLUDER GORE AAA ENDOPRO,"39,463.00 "
PHACO MACHINE,485.00 
IMPL SYS CMC MINI T-ROPE,"5,436.00 "
META TAN 9MMX38CM LEFT,"8,247.00 "
CONE TM TIBIAL LG 51X34LT,"20,214.00 "
AUGMENT NEXGEN PRECOAT BL,"4,554.00 "
DRILL BIT 2.5MM CALIBRATE,289.00 
DRILL BIT 1.7MM,336.00 
DRILL BIT HIGH PERFORMANC,495.00 
TUBE ANSPACH IRRIGATION H,200.00 
SHELL ACETABULAR SECT 60M,"5,950.00 "
LINER ACETABULAR 36X60MM,"4,250.00 "
ATRICLIP ATRICURE ACH245,"5,313.00 "
DERMIS DECELLULARIZED AFL,"12,931.00 "
ATRICLIP ATRICURE 40MM,"4,375.00 "
SHAFT ENDOPATH PROBE PLUS,86.00 
PATH ENDOPATH PROBE PLUS,86.00 
HANDLE ENDOPATH PROBE PLU,199.00 
PRESS BAG IRRIG TUBESET W,34.00 
ENDOPATH PROBE PLUSH HAND,104.00 
ENDOPATH PROBE PLUSH 5MM,86.00 
CANNULA PASSPORT BUTTON,255.00 
INST SYSTM REV FLEX OSTEO,"1,448.00 "
DERMASPAN ACD 4X8CMX3-3.3,"10,763.00 "
REAMER FUSION CUP 14MM,"1,063.00 "
DRILL BIT 3.1MM 705075,"1,260.00 "
INSERT TRIDENT CONSTRAINE,"11,896.00 "
PIN 3.0MM BY 355MM,808.00 
DRILL BIT FREE HAND TARG,303.00 
DRILL BIT RF CANNULATED 4,"3,870.00 "
ADAPTOR LAP SCOPE WARMER,425.00 
PERIMOUNT AORTIC VALVE 23,"24,798.00 "
PERIMOUNT AORTIC VALVE 19,"24,798.00 "
PERIMOUNT AORTIC VALVE 21,"24,798.00 "
CAP TRIDENT ACETABULAR,"4,050.00 "
GRAFT MEDIAL FEMORAL HEMI,"35,010.00 "
SHELL PINNACLE ACETABULAR,"5,950.00 "
LINER ALTRX ACETUBULAR,"4,250.00 "
SHELL PINNACLE ACETUBULAR,"5,950.00 "
LINER ALTRX ACETUBULAR,"4,250.00 "
STEM FEMORAL POROCOAT,"9,775.00 "
CANNULA SHOEHORN,107.00 
DEVICE MYOSURE REACH,"3,500.00 "
KIT AQUA VAUGE 1200 FAT T,638.00 
DRILL BIT 2.2MM J LATCH,"1,033.00 "
BATTERY PACK STERILE DISP,"1,454.00 "
DRILL ZDRIVE POWER DRIVER,140.00 
SIZER NEOSPAN STAPLE,"1,575.00 "
RINGLOC BI-POLAR 28X50MM,"2,250.00 "
STEM TPRLC 133 T1 PPS HO,"7,000.00 "
NEEDLE INJETAK FLEXIBLE 7,253.00 
CENTRALIZER VERSYS DISTAL,447.00 
CUBES CANCELLOUS 5CC,536.00 
CUBES CANCELLOUS 15CC,893.00 
CUBES CANCELLOUS 30CC,"1,490.00 "
LINER CEMENTLESS 36MM,"3,850.00 "
INSERT X3 FOR MD LINER 22,"4,550.00 "
URETEROSCOPE FLEX SNGLUSE,"4,883.00 "
STEM STRAIGHT CEMENTED 13,"12,708.00 "
DRILL BIT 3.2MMX30MM RNGL,319.00 
EVACUATOR UROVAC BLADDER,102.00 
BACTISURE 1000CC,"3,600.00 "
BROKEN SCREW 2.7MM REM SY,"3,014.00 "
BROKEN SCREW 3.5MM REM SY,"3,014.00 "
BROKEN SCREW 4.5MM REM SY,"3,014.00 "
3 SPIKE BAG DISPOSABLE,601.00 
DRILL BIT 04 2X130MM,730.00 
SUPPORT STANDARD LOGISTIC,213.00 
POWDER SURGICEL 3.0 GRAMS,817.00 
ADAPTER REUNION RFX HUMER,"1,350.00 "
DRILL BIT 2X340MM,730.00 
DRILL BIT 2.5MM OC GOLD,372.00 
DUAFIT PIP 0 CA,"4,200.00 "
SUMMIT POR TAPER SZ 5 STD,"8,050.00 "
EXCLUDER AAA ENDOPROSTHES,"16,587.00 "
SET CODMAN BEVD 1.9MM CAT,"3,330.00 "
KIT CODMAN CRANIAL ACCESS,"1,958.00 "
STAPLE SUPERELASTIC COMPR,"6,549.00 "
BIOGLASS BIOV-5CC W/DBM,"7,074.00 "
DRILL BIT CANNULATED ALG,"1,179.00 "
DRILL BIT CANNULATED LAG,"1,179.00 "
SYSTM ANCHOR TISSUE RETRI,710.00 
DIODE LASER,750.00 
BLADE TRNA HELICAL 95MM S,"4,122.00 "
CLIPS SCALPFIX STERILE,42.00 
DRILL BIT Q/C CANNU 3.2MM,"1,606.00 "
BLADE MYRINGOTOMY SPEAR T,50.00 
INSERT PSN MC VE ASF R 10,"3,850.00 "
INSERT PSN ALL POLY PAT P,"1,800.00 "
NEEDLE NAVIGATED PEDICLE,"2,451.00 "
TUBING BIPOLAR SILVERGLID,256.00 
TUBING SONOPET,"1,463.00 "
SONOPET STRAIGHT TIP,"2,790.00 "
SONOPET LARGE DIAMETER,"11,550.00 "
DRILL BIT 3MM MATCHSTICK,"1,240.00 "
BUR 4MM PRECISION ROUND,"1,125.00 "
ROUTER 2.3 CRANI,554.00 
MATRIX DURAGEN+ REGENERAT,"2,616.00 "
MATRIX DURAGEN+ REGENERAT,"3,799.00 "
MATRIX DURAGEN+ REGENERAT,"3,654.00 "
