Charge Identifier,CDM Description, 2019 Price ,,,
312687,IMPLANT SCREW CANC +6.0MM X L75MM 608275, $152.00 ,,,
312688,IMPLANT PLATE FEM LFT 6 HOLE X L166MM 627606," $7,171.00 ",,,
312698,IMPLANT MARKER BIOPSY SITE MAMMOSTAR 14G BARBELL START1403, $221.00 ,,,
312712,IMPLANT SCREW LOCKING LO-PRO 3.5MM X 30MM AR-8835L-30, $345.00 ,,,
312713,IMPLANT SCREW LOCKING LO-PRO 2.7MM X 30MM AR-8827L-30, $345.00 ,,,
312714,IMPLANT PLATE MEDIAL DIST TIB RT 14-HOLE AR-8963MR-14," $5,460.00 ",,,
312728,IMPLANT SCREW LOCKING 5.0MM X 24MM 661124, $595.00 ,,,
312729,IMPLANT PLATE FEM LFT 4 HOLE X 130MM 627604," $7,171.00 ",,,
312848,IMPLANT SCREW CANN ASNIS III SS 8.0MM X 65MM STRL 326665S, $788.00 ,,,
312905,IMPLANT SCREW CANN TI ASNIS III 4.0MM X 26MM 604626, $508.00 ,,,
312906,IMPLANT SCREW CANN TI ASNIS III 4.0MM X 36MM 604636, $508.00 ,,,
312938,CATHETAR CONQUEST PTA DILATION 6 X 75 X 6 CQF7564, $660.00 ,,,
312939,IMPLANT PLATE HAND 6 HOLE 57-15397," $1,258.00 ",,,
312946,IMPLANT KNEE CR FEM CEM ATTUNE LFT SZ 4 1504-00-104," $5,250.00 ",,,
312947,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 4 8MM 1516-20-408," $3,900.00 ",,,
312948,IMPLANT SCREW CANN HEADLESS 3.0MM X 34MM 317-3034, $975.00 ,,,
313024,IMPLANT SCREW NON-LOCKING 2.7MM X 12MM 337-2712, $410.00 ,,,
313025,IMPLANT SCREW NON-LOCKING 2.7MM X 14MM 337-2714, $410.00 ,,,
313026,IMPLANT SCREW 2.7MM X 10MM DBL LEAD LOCK T8 338-2710, $885.00 ,,,
313027,IMPLANT SCREW 2.7MM X 12MM DBL LEAD LOCK T8 338-2712, $885.00 ,,,
313028,IMPLANT PLATE FUSION 2.7MM-1ST MTP LEFT -10  336-2752," $5,720.00 ",,,
313029,CATHETER BALLOON POWERFLEX PRO 4MM X 4CM X 135CM 4400404X, $378.00 ,,,
313030,CATHETER BALLOON POWERFLEX PRO 6MM X 4CM X 135CM 4400604X, $378.00 ,,,
313031,CATHETER BALLOON POWERFLEX PRO 8MM X 4CM X 135CM 4400804X, $378.00 ,,,
313048,IMPLANT CARTILAGE SYN 8MM CAR-08-US," $10,800.00 ",,,
313055,IMPLANT NAIL 13MM X 380MM 120D LONG NAIL S 1.5MM RADIUS  LFT 3520-3380S," $7,305.00 ",,,
313070,IMPLANT DX SWIVELOCK SL W/ FORKED EYELET 3.5 X 13.5MM AR-8979P," $1,275.00 ",,,
313071,IMPLANT SCREW SD CANNULA 7.0MM X 45 MSD-010-70-045S, $879.00 ,,,
313072,IMPLANT SCREW SD CANNULA 4.0MM X 45 MSD-010-40-045S, $573.00 ,,,
313171,IMPLANT SCREW CANN 5.5MM X 60MM 317-5560," $1,680.00 ",,,
313172,IMPLANT SCREW CANN 6.5MM X 80MM 317-6580," $2,514.00 ",,,
313173,GUIDEWIRE 1.6MM X 180MM 316-1601, $141.00 ,,,
313175,GUIDEWIRE 2.8MM X 230MM 316-1701, $154.00 ,,,
313197,IMPLANT HIP FEM STEM SUMMIT BASIC PRESS FIT SZ 4 1570-05-100," $5,250.00 ",,,
313264,IMPLANT SCREW LOCKING 2.7MM X 30MM 4023-2730, $660.00 ,,,
313515,IMPLANT SCREW LOCKING 4.5MM X 28MM 5921-4528, $714.00 ,,,
313516,IMPLANT SCREW LOCKING 4.5MM X 36MM 5921-4536, $714.00 ,,,
313517,IMPLANT SCREW LOCKING 4.5MM X 30MM 5921-4530, $714.00 ,,,
313518,IMPLANT SCREW NON-LOCKING 4.5MM X 30MM 5922-4530, $300.00 ,,,
313519,IMPLANT SCREW NON-LOCKING 4.5MM X 38MM 5922-4538, $300.00 ,,,
313559,IMPLANT SCREW ASNIS 6.5MM X 90MM 606090S, $777.00 ,,,
313560,IMPLANT SCREW ASNIS III THRD 4.0MM 6.5MM X 100MM 326300, $763.00 ,,,
313561,IMPLANT ALLOGRAFT ALLOPURE BICORTICAL EVANS WEDGE 12MM HUMAN TISSUE 86LL1200," $6,606.00 ",,,
313562,IMPLANT SCREW LP LOCKING 4.5MM X 46MM AR-8545L-46, $585.00 ,,,
313563,IMPLANT SCREW CANN 5.5MM X 44MM 317-5545," $1,680.00 ",,,
313564,IMPLANT SCREW CANN 5.5MM X 50MM 317-5551," $1,680.00 ",,,
313565,IMPLANT SCREW CANN 5.5MM X 32MM 319-5532," $1,064.00 ",,,
313574,IMPLANT SCREW CANN 8.0MM X 45MM 611045S, $788.00 ,,,
313575,IMPLANT SCREW CANN 7.0 X 105MM LONG 658605," $2,633.00 ",,,
313576,ROD THREADED 150MM RR0150TR (EXTERNAL COMPONENT), $279.00 ,,,
313577,IMPLANT FOOT SIDEKICK HALF PIN 5X25 TIN 180MM RR5025TN, $534.00 ,,,
313578,FOOT NUT 10MM MULTIPACK (20/PK)  RR1001PK  (EXTERNAL COMPONENT), $28.00 ,,,
313581,CUBE SALVATION 3 HOLE SEF01003  (EXTERNAL COMPONENT), $699.00 ,,,
313582,PLATE ROCKER SALVATION  (EXTERNAL COMPONENT) SEF02400," $6,111.00 ",,,
313583,FRAME FOOT SALVATION 180MM ASSEMBLY SEFA0180  (EXTERNAL COMPONENT)," $22,326.00 ",,,
313584,NUT SALVATION 10MM SEF33010  (EXTERNAL COMPONENT), $93.00 ,,,
313585,CUBE SALVATION 2 HOLE SEF01002 (EXTERNAL COMPONENT), $651.00 ,,,
313615,IMPLANT SCREW LP CANN 4.0MM X 45MM AR-8840CL-45, $495.00 ,,,
313616,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 8 7MM 1516-20-807," $3,900.00 ",,,
313618,IMPLANT SCREW 7.0MM X 95MM CANN 658395," $2,633.00 ",,,
313619,STAPLE KIT 24MM X 20MM X 20 NITNOL SK242020," $4,311.00 ",,,
313639,CATHETER BALLOON LUTONIX 5MMX60MMX40CM," $4,200.00 ",,,
313640,CATHETER BALLOON LUTONIX 6MM X 60MM X 40CM," $4,200.00 ",,,
313641,CATHETER BALLOON LUTONIX 7MM X 60MM X 40CM," $4,200.00 ",,,
313642,CATHETER BALLOON LUTONIX 7MM X 60MM X 75CM," $4,200.00 ",,,
313643,CATHETER BALLOON LUTONIX 8MM X 60MM X 75CM," $4,950.00 ",,,
313644,CATHETER BALLOON LUTONIX 9MM X 60MM X 75CM," $4,950.00 ",,,
313645,CATHETER BALLOON LUTONIX 10MM X 60MM X 75CM," $4,950.00 ",,,
313646,CATHETER BALLOON LUTONIX 12MM X 40m X 75CM," $4,950.00 ",,,
313654,IMPLANT SCREW NON-LOCK 5.5MM X 50MM 5922-5550, $300.00 ,,,
313655,IMPLANT PLATE LG ORTHOLOC LAT 5920-2030," $5,559.00 ",,,
313656,IMPLANT SCREW CANN 4.5MM X 42MM 317-4543," $1,501.00 ",,,
313669,IMPLANT SCREW LONG 7.0 X 115MM 658615," $2,633.00 ",,,
313670,IMPLANT SCREW LONG 7.0 X 110MM 658610," $2,633.00 ",,,
313705,IMPLANT ALLOGRAFT ALLOPURE PLUS COTTON BONE WEDGE 6MM  HUMAN TISSUE 86660006," $5,430.00 ",,,
313744,IMPLANT NAIL T2 SUPRACONDYLAR 12MM X 200MM 1826-1220S," $6,138.00 ",,,
313750,IMPLANT SLING ALTIS SNGL INCISION 519650," $4,536.00 ",,,
313806,IMPLANT SCREW CANN 6.5MM X 75MM 317-6575," $2,514.00 ",,,
313821,IMPLANT SCREW SD CANNULA 4.0MM X 35 MSD-010-40-035S, $573.00 ,,,
313822,K-WIRE 1.4MM SNGL TROCAR HCS-040-14, $54.00 ,,,
313853,IMPLANT SCREW SD CANNULA 4.0MM X 35 MSD-010-40-035L, $573.00 ,,,
313854,IMPLANT STEM ANATO ANTEVERTED SZ 6 LFT 4845-7-206," $8,250.00 ",,,
313914,IMPLANT INSERT TIBIAL SZ 3 16MM 5537-G-216," $8,064.00 ",,,
313915,IMPLANT OGEN STR CATH FUSED CONNECTOR 10-1318," $16,027.00 ",,,
313970,IMPLANT SCREW CANN 6.5 X 120MM 602920S, $797.00 ,,,
313983,REFLECTOR NEEDLE SYSTEM 5CM SCOUT SSR05-01," $1,608.00 ",,,
313984,REFLECTOR NEEDLE SYSTEM 7.5CM SCOUT SSR75-01," $1,608.00 ",,,
313985,REFLECTOR NEEDLE SYSTEM 10CM SCOUT SSR10-01," $1,608.00 ",,,
314049,IMPLANT ALLOGRAFT ALLOPURE BICORTICAL EVANS WEDGE 6MM HUMAN TISSUE 86LL0006," $5,430.00 ",,,
314060,IMPLANT INSERT TIBIAL SZ 3 13MM 5537-G-313," $8,064.00 ",,,
314103,IMPLANT SCREW 4.5MM X 36MM CANN 319-4536, $975.00 ,,,
314113,IMPLANT SCREW LOCKING 2.7 X 24MM 5880-2724, $660.00 ,,,
314132,IMPLANT SCREW CANN 5.5MM X 55MM 317-5555," $1,680.00 ",,,
314133,IMPLANT SCREW 4.5MM X 40MM CANN 319-4540, $975.00 ,,,
314134,IMPLANT SCREW 4.5MM X 44MM CANN 319-4544, $975.00 ,,,
314158,IMPLANT SHOULDER MODULAR HUMERAL HEAD VERSA DIAL 58MM X 27MM X 61MM 113077," $4,392.00 ",,,
314171,IMPLANT PLATE 10HOLE ANT LFT 336-2110," $7,477.00 ",,,
314172,IMPLANT SCREW CANN 5.5MM X 40MM 317-5541," $1,680.00 ",,,
314184,IMPLANT KNEE INSERT TIB BEARING PS TRIATHLON SZ 3 5532-G-211," $3,465.00 ",,,
314185,IMPLANT INSERT TIBIAL SZ 3 16MM 5537-G-211," $8,064.00 ",,,
314211,IMPLANT SCREW 8.0MM X 75MM 611275S, $763.00 ,,,
314212,IMPLANT NAIL FEMUR T2 STRL 9MM X 280MM 1828-0928S," $5,278.00 ",,,
314213,IMPLANT NAIL LONG 11 X 340 X 120 RT 3420-1340S," $7,305.00 ",,,
314244,IMPLANT PLATE PROXIMAL HUMERUS 6 HOLE 241.919," $4,895.00 ",,,
314246,IMPLANT SCREW CANN 5.5MM X 38MM 317-5538," $1,680.00 ",,,
314247,IMPLANT SCREW CANN 5.5MM X 42MM 317-5543," $1,680.00 ",,,
314305,IMPLANT BASEPLATE TRITANIUM SZ 4 5536-B-400," $4,290.00 ",,,
314324,IMPLANT KNEE CR FEM CEM ATTUNE LFT SZ 6 1504-00-126," $5,250.00 ",,,
314326,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 6 6MM 1516-20-606," $3,900.00 ",,,
314328,IMPLANT PLATE 10H DIS ANTEROLATERAL LFT TIB 627460," $6,128.00 ",,,
314336,IMPLANT STENT WALLSTENT BILIARY 14MM X 90MM X 100CM 40313/H96540313," $5,993.00 ",,,
314342,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 7 5MM 1516-20-708," $3,900.00 ",,,
314621,IMPLANT HIP SHELL TRIDENT HEMISPHERICAL CLUSTER 64MM 502-01-64H," $3,465.00 ",,,
314622,IMPLANT BASEPLATE TRITANIUM SZ 7 5536-B-700," $4,290.00 ",,,
314623,IMPLANT HIP ACE LINER G7 40MM D HI-WALL 010000825," $2,085.00 ",,,
314624,IMPLANT SCREW 4.5MM X 40MM LNG 319-4541, $975.00 ,,,
314625,IMPLANT BONE FILLER CERAMENT 18ML SYNTHETIC CALCIUM SULPHATE  CALCIUM PHOSPHATE SUBSTITUTES," $12,974.00 ",,,
314653,IMPLANT SCREW VA 3.5 X 14MM 3013-35014, $474.00 ,,,
314741,IMPLANT SCREW 7MM X 100MM CANN 658400," $2,633.00 ",,,
314742,IMPLANT SCREW CANN 5.5MM X 44MM 319-5544," $1,064.00 ",,,
314743,IMPLANT SCREW WASHER 5.5MM 316-0326, $218.00 ,,,
314766,IMPLANT SHOULDER STEM STD 6MM X 122MM COMP PRIMARY  113646," $10,008.00 ",,,
314884,IMPLANT NAIL GAMMA-3S LFT 11 X 320MM 125DEG 3525-1320S," $7,305.00 ",,,
314885,IMPLANT SCREW CORT 4.5MM X 24MM 661724, $103.00 ,,,
314886,IMPLANT SCREW CORT 4.5MM X 22MM 661722, $103.00 ,,,
314887,IMPLANT SCREW CORT 4.5MM X 28MM 661728, $103.00 ,,,
314888,IMPLANT PLATE LOCKING COMPRESSION 7 HOLE 133MM X 5.0MM 627537S," $5,710.00 ",,,
314889,IMPLANT OGEN DUAL STR CATHOD 30CM LEAD 10-1322S," $16,027.00 ",,,
314943,IMPLANT KNEE ASYMMETRIC PATELLA TRIATHLON 32MM X 10MM 5552-L-320," $2,100.00 ",,,
314975,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 5 5MM 1516-20-505," $3,900.00 ",,,
314976,IMPLANT KNEE TIB BEARING BASE SZ 4 1506-70-004," $4,650.00 ",,,
314984,IMPLANT SCREW 2.7MM X 16MM 4112-2716, $372.00 ,,,
314985,IMPLANT SCREW 2.7MM X 12MM 4112-2712, $372.00 ,,,
314986,IMPLANT SCREW LOCKING 2.7MM X 16MM 4012-2716, $678.00 ,,,
314987,IMPLANT PLATE LISFRANC 6 HOLES 4350-0024," $3,858.00 ",,,
315020,IMPLANT KNEE ASYMMETRIC PATELLA TRIATHLON A38MM X 11MM 5552-L-381," $2,100.00 ",,,
315034,IMPLANT LINER ACTETABULUM R3 20 DEG 36 X 54MM 71335754," $1,800.00 ",,,
315035,IMPLANT HIP FEM HEAD 12/14 36MM +8 71343608," $7,500.00 ",,,
315039,IMPLANT PLATE 14H DIS MEDIAL RT TIB  627444," $5,909.00 ",,,
315044,IMPLANT SCREW HEADLESS COMPRESSION +5.0MM X L90MM 658190," $1,485.00 ",,,
315118,IMPLANT STEM ANATO ANTEVERTED SZ 7 LFT 4845-7-207," $8,250.00 ",,,
315119,IMPLANT SCREW CORT ST 2.7MM X 8MM 349608, $65.00 ,,,
315178,IMPLANT SCREW PEEK TENODESIS 7.0 X 23MM AR-1570PS, $945.00 ,,,
315326,IMPLANT NAIL 13MM X 340MM 120D 3LONG NAIL S 1.5MM RADIUS LFT 3520-3340S," $7,305.00 ",,,
315327,IMPLANT BASEPLATE TRITANIUM SZ 5 5536-B-500," $4,290.00 ",,,
315468,IMPLANT HIP SHELL TRIDENT HEMISPHERICAL 70MM SZ I 509-02-70I," $10,334.00 ",,,
315469,IMPLANT SCREW CANN 4.5MM X 32MM 317-4532," $1,501.00 ",,,
315543,IMPLANT HIP STEM ACCOLADE II 127DEG NECK ANGLE SZ 10 40MM X 123MM 6721-1040," $8,250.00 ",,,
315560,IMPLANT KNEE FEM TRIATHLON CRUCIATE RETAINING BEADED LFT SZ 8 5517-F-801," $8,415.00 ",,,
315621,IMPLANT KNEE TIB BEARING BASE SZ 7 1506-70-007," $4,650.00 ",,,
315627,IMPLANT SCREW LP LOCKING 2.4 X 12MM AR-8724L-12, $375.00 ,,,
315628,IMPLANT SCREW LP LOCKING 2.4 X 14MM AR-8724L-14, $375.00 ,,,
315629,IMPLANT SCREW LP LOCKING 2.4 X 22MM AR-8724L-22, $375.00 ,,,
315630,IMPLANT PLATE LP 2.4MM 7 HOLE AR-8952MT-07," $2,085.00 ",,,
315631,IMPLANT SCREW LP LOCKING 2.4 X 24MM AR-8724L-24, $375.00 ,,,
315632,IMPLANT SCREW LP 13.0MM X 28MM AR-8933-28, $330.00 ,,,
315656,IMPLANT SCREW LOCKING BG 2.5 X 12MM P50-053-2512, $744.00 ,,,
315659,IMPLANT SCREW TRIAL-LO-PRO 2.7MM X 18MM AR-8827-18, $135.00 ,,,
315673,IMPLANT PLATE LAT TTC FUSION LG LT 3DI PLATING SYSTEM 5920303L," $6,057.00 ",,,
315674,IMPLANT SCREW NON-LOCKING 5.5 X 38MM 5922-5538, $300.00 ,,,
315682,IMPLANT SCREW 7.0 X 120MM LONG 658620," $2,633.00 ",,,
315683,IMPLANT PLATE 6HOLE DIST FIB LFT 336-6106," $5,451.00 ",,,
315744,IMPLANT INSERT TIBIAL SZ 3 11MM 5537-G-511," $8,064.00 ",,,
315745,IMPLANT KNEE STEM 15MM X 50MM 5560-S-115," $3,557.00 ",,,
315746,IMPLANT KNEE ASYMMETRIC PATELLA TRIATHLON 29MM X 9MM 5552-L-299," $2,100.00 ",,,
315785,IMPLANT KNEE TRIATHLON TRITANIUM TIBIAL SYMMETRIC CONE AUG 5549-A-120," $13,673.00 ",,,
315786,IMPLANT SCREW ASNIS CANN PARTIALLY THREADED 6.5MM X 45MM 602645, $763.00 ,,,
315787,IMPLANT TIBIAL AUGMENT HALF BLOCK SZ6 10MM 5546-A-601," $3,574.00 ",,,
315816,IMPLANT KNEE TIB INSERT PFC SIGMA A/P CVD SZ 2.5 15MM 96-0633," $3,600.00 ",,,
315905,IMPLANT KNEE TIB BEARING BASE SZ 6 1506-70-006," $4,650.00 ",,,
316000,IMPLANT PLATE RT PROX HUMERUS 8 HOLE 627238," $6,913.00 ",,,
316011,IMPLANT SCREW LP CANN 4.0MM X 44MM AR-8840CL-46, $495.00 ,,,
316069,IMPLANT STEM ANATO ANTEVERTED SZ 5 LFT 4845-7-215," $8,250.00 ",,,
316112,IMPLANT KNEE TIB BEARING BASE SZ 8 1506-70-008," $4,650.00 ",,,
316117,IMPLANT STEM ANATO ANTEVERTED SZ 5 RT 4845-7-105," $8,250.00 ",,,
316134,IMPLANT KNEE STEM CVD MRS 11MM X 127MM 6485-3-811," $8,866.00 ",,,
316154,IMPLANT HIP RESTORATION MODULAR SZ 19MM +20MM 6276-4-219," $15,228.00 ",,,
316188,IMPLANT SCREW LOCKING 5.0MM X 20MM 661120, $595.00 ,,,
316189,IMPLANT SCREW CORT 4.5MM X 26MM 661726, $103.00 ,,,
316274,IMPLANT NAIL FEM LFT 13MM X 340MM 1850-1334S," $5,993.00 ",,,
316326,IMPLANT NAIL HUMERAL T2 7MM X 290MM 1830-0729S," $4,535.00 ",,,
316327,IMPLANT BONE SCREW T10 3.5MM X 14MM 657414, $376.00 ,,,
316328,IMPLANT SCREW LOCKING T10 FT 3.5MM X L10MM 657310, $691.00 ,,,
316329,IMPLANT SCREW LOCKING T10 FT 3.5MM X L12MM 657312, $691.00 ,,,
316330,IMPLANT SCREW LOCKING T10 FT 3.5MM X L14MM 657314, $691.00 ,,,
316331,IMPLANT SCREW LOCKING T10 FT 3.5MM X L16MM 657316, $691.00 ,,,
316332,IMPLANT BONE SCREW T10 3.5MM X 46MM 657446, $376.00 ,,,
316333,IMPLANT SCREW LOCKING T10 FT 3.5MM X L20MM 657320, $691.00 ,,,
316334,IMPLANT Y-PLATE BROAD 3HOLES 626993," $3,757.00 ",,,
316418,IMPLANT FEMORAL COMPONENT TRIATHON TS SZ 7 RT 5512-F-702," $20,203.00 ",,,
316419,IMPLANT KNEE INSERT TIB BEARING PS TRIATHLON SZ 7 13MM 5532-G-713," $3,465.00 ",,,
316420,IMPLANT FEMORAL DISTAL AUMENT RT SZ 7 5MM 5540-A-702," $3,818.00 ",,,
316421,IMPLANT FEMORAL POST AUMENT SZ 7 5MM 5543-A-700," $3,818.00 ",,,
316448,IMPLANT INSERT TIBIAL SZ 7 19MM 5537-G-719," $8,064.00 ",,,
316449,IMPLANT KNEE FEM DISTAL AUGMENT RT SZ 7 10MM 5541-A-702," $4,010.00 ",,,
316492,IMPLANT KNEE TIB INSERT FIXED BEARING ATTUNE SZ 5 7MM 1516-20-507," $3,900.00 ",,,
316504,IMPLANT KNEE INSERT CROSSLINK CVD SZ 2.5 20MM 1581-12-120," $3,450.00 ",,,
316505,IMPLANT HIP TRIDENT HEMISPHERICAL HA SOLID BK 60MM 500-11-60G," $3,465.00 ",,,
316521,IMPLANT SCREW LP LOCKING 4.5MM X 22MM AR-8545L-22, $585.00 ,,,
316553,IMPLANT NAIL 13MM X 400MM 120D GAMMA3 S 1.5M RADIUS RT 3420-3400S," $7,305.00 ",,,
316571,IMPLANT BASEPLATE TRITANIUM SZ 3 5536-B-300," $4,290.00 ",,,
316589,IMPLANT NAIL SUPRACONDYLAR T2 SCN 13MM X 360MM 1826-1336S," $6,138.00 ",,,
316675,IMPLANT SCREW FLEX MIS TRAB 5954-090-00, $150.00 ,,,
316758,IMPLANT ALLOGRAFT PROLAYER XENOGRAFT 5CM X 10CM 3102-2151," $9,840.00 ",,,
316771,IMPLANT ALLOGRAFT ASEPTIC ACHILLES ATP-102," $9,300.00 ",,,
316841,IMPLANT BASEPLATE TRITANIUM SZ 8 5536-B-800," $4,290.00 ",,,
316842,IMPLANT SCREW LOCKING 4.75 X 30MM 180553, $210.00 ,,,
316843,IMPLANT SCREW NON-LOCKING 4.75 X 30 MM 180560, $210.00 ,,,
316868,IMPLANT CEMENT BONE HYDROSET XT 5ML 897005," $6,254.00 ",,,
316869,IMPLANT SCREW TI ST CORT 2.7MM X 26MM 605026, $70.00 ,,,
316959,IMPLANT HIP STEM ACCOLADE II 127DEG NECK ANGLE SZ 11 40MM X 126MM 6721-1140," $8,250.00 ",,,
317089,IMPLANT BONE SCREW T10 3.5MM X 26MM 657426, $376.00 ,,,
317090,IMPLANT BONE SCREW T10 3.5MM X 38MM 657438, $376.00 ,,,
317091,CATHETER MICRO PROGREAT 2.0FR X 130CM SYS MC*PC2013Y," $2,175.00 ",,,
317127,CATHETER CLOTRIEVER THROMBECTOMY SYSTEM 16MM 125CM 40-102," $14,385.00 ",,,
317128,SHEATH CLOTRIEVER 13FR 26CM 50-101," $3,885.00 ",,,
317145,IMPLANT INSERT TIBIAL SZ 3 13MM 5537-G-613," $8,064.00 ",,,
317146,IMPLANT SCREW CORT 4.5MM +4.5MM / L14MM 661714, $103.00 ,,,
317147,IMPLANT PLATE LOCKING COMP 13 HOLE / L245 MM 5.0MM 627573S," $6,245.00 ",,,
317166,IMPLANT NAIL T2 PROX HUMERAL LONG RT 8MM X 150MM 1832-1045S," $6,376.00 ",,,
317304,IMPLANT HIP FEMORAL HEAD 12/14 COBALT CHROME 36MM +0 71303600," $2,700.00 ",,,
317305,IMPLANT LINER ACTETABULUM R3 20DEG 36MM X 56MM," $1,800.00 ",,,
317306,IMPLANT HIP SHELL TRIDENT 58MM 500-01-58F," $3,465.00 ",,,
317307,IMPLANT PLATE LOCKING COMPRESSION PLATE BROAD 12 HOLE / L227 MM 5.0MM LOCKING," $5,996.00 ",,,
317354,IMPLANT SCREW CANN 6.5MM X 100MM 317-6601," $2,514.00 ",,,
317355,IMPLANT STEM ANATO ANTEVERTED SZ 5 RT NUETRAL 4845-7-115," $8,250.00 ",,,
317373,IMPLANT SCREW CANN 8.0 X 100MM 611100S, $788.00 ,,,
317374,IMPLANT PENILE PUMP MS AMS 700 LGX 18CM X 10 CM PRECONNECTED PENOSCROTAL 72404252-10," $30,279.00 ",,,
317375,IMPLANT PLATE DISTAL LATERAL FEMUR TS 8 HOLE RT 437528," $5,264.00 ",,,
317376,IMPLANT PLATE NARROW 4 HOLE L79MM 427104, $452.00 ,,,
317377,IMPLANT PLATE NARROW 5 HOLE L97MM 427105, $452.00 ,,,
317387,IMPLANT PUTTY 100 DBM 100% P01-DMB-1001," $1,164.00 ",,,
317388,IMPLANT SCREW LOCKING 2.5MM X 18MM P50-053-2518, $744.00 ,,,
317414,IMPLANT SCREW 4.5MM X 30MM 2-PK 403182, $165.00 ,,,
317415,IMPLANT PIN THREADED FIXATION 5MM X 170MM 2-PK 403183, $585.00 ,,,
317416,IMPLANT SCREW 4.5 X 20MM 2-PK 403181, $285.00 ,,,
317417,IMPLANT STENT BALLOON EXPANDABLE ENDOPROSTHESIS VIABAHN 8MM X 79MM X 80CM BXA087901A," $10,185.00 ",,,
317419,IMPLANT ALLOGRAFT PROLAYER MESHED ACELLULAR DERMIS .4-1.0MM 3102-2524," $2,400.00 ",,,
317434,IMPLANT LINER MOD CUP NEUTRAL LONGEVITY 62MM X 40MM 6305-062-40," $2,925.00 ",,,
317455,IMPLANT INSERT TIBIAL SZ 3 22MM 5537-G-322," $8,064.00 ",,,
317456,IMPLANT KNEE TIBIAL AUG 1/2 BLOCK SZ 3 X 5MM 5545-A-302," $3,492.00 ",,,
317457,IMPLANT SCREW CORT 4.5 X 70MM 661770, $103.00 ,,,
317509,IMPLANT HIP LINER CEMENTLESS C 36MM 626-00-36C," $4,290.00 ",,,
317510,IMPLANT HIP INSERT RESTORATION F/MDM 22.2 X 42MM 1236-2-242," $4,290.00 ",,,
317517,IMPLANT SREW CANN COUNTERSINK 7.0MM 705262," $1,296.00 ",,,
317518,IMPLANT KNEE TIB INSERT PFC SIGMA A/P CVD SZ 2.5 12.5MM 96-0632," $3,600.00 ",,,
317556,IMPLANT SCREW 16 X 60MM HEADLESS DC001660," $2,595.00 ",,,
317590,IMPLANT PLATE LOCKING DISTAL FIBULA SS RT 12H STRL AR-8943BRS-12," $2,580.00 ",,,
317683,IMPLANT NAIL SUPRA CONDYLAR STRL 10MM X 380MM 1826-1038S," $6,138.00 ",,,
317713,IMPLANT HIP HEAD FEM COCR LFIT V40  22.2MM 6260-4-222," $1,485.00 ",,,
317735,IMPLANT SCREW T8 FT 2.4MM X 16MM 656016, $620.00 ,,,
317736,IMPLANT SCREW T8 FT 2.4MM X 18MM 656018, $620.00 ,,,
317737,IMPLANT SCREW T8 FT 2.7MM X 12MM 656412, $361.00 ,,,
317738,IMPLANT SCREW T8 FT 2.7MM X 12MM 656312, $620.00 ,,,
317739,IMPLANT SCREW T8 FT 2.7MM X 16MM 656316, $620.00 ,,,
317740,IMPLANT SCREW T8 FT 2.7MM X 18MM 656318, $620.00 ,,,
317741,IMPLANT SCREW T8 FT 2.4MM X 14MM 656014, $620.00 ,,,
317742,IMPLANT PLATE 5HOLE SLIM Y 626985," $3,200.00 ",,,
317847,IMPLANT HIP TRIDENT HEMISPHERICAL MULTI 508-11-48D," $3,465.00 ",,,
317848,IMPLANT SCREW TRIDENT CNCLS 50MM 2030-6550-1, $391.00 ,,,
317992,IMPLANT STENT URETERAL PERCUFLEX PLUS 4.8FR X 30CM W/O GUIDWIRE 175-255/M0061752550, $332.00 ,,,
318000,IMPLANT SCREW LOCKING 5.0MM X 16MM 661316, $713.00 ,,,
318005,IMPLANT PLATE LOCKING COMP 12 HOLE / L227 MM 5.0MM 627572S," $6,105.00 ",,,
318006,IMPLANT SCREW CANC FT 6.0MM X 30MM 608030, $152.00 ,,,
318008,IMPLANT SCREW CANC FT 6.0MM X 35MM 608035, $152.00 ,,,
318011,IMPLANT ANCHORKNOT KIT ATA-500-001," $5,985.00 ",,,
318023,IMPLANT COMPRESSION STAPLE 8W X 8L X 8L STRL 139-08-0808-S," $2,985.00 ",,,
318024,IMPLANT COMPRESSION STAPLE 10W X 9L X 9L STRL 139-10-0909-S," $2,985.00 ",,,
318025,IMPLANT COMPRESSION STAPLE 10W X 12L X 14L STRL 139-10-1214-S," $2,985.00 ",,,
318026,IMPLANT COMPRESSION STAPLE 15W X 14L X 14L STRL 139-15-1414-S," $3,585.00 ",,,
318027,IMPLANT COMPRESSION STAPLE 18W X 14L X 14L STRL 139-18-1414-S," $3,585.00 ",,,
318028,IMPLANT COMPRESSION STAPLE 18W X 18L X 18L STRL 139-18-1818-S," $3,585.00 ",,,
318029,IMPLANT COMPRESSION STAPLE 20W X 18L X 18L STRL 139-20-1818-S," $4,485.00 ",,,
318030,IMPLANT COMPRESSION STAPLE 25W X 20L X 20L STRL 139-25-2020-S," $4,485.00 ",,,
318135,IMPLANT HIP FEM COMP ECHO FX 11MM X 130MM 12-151311," $3,039.00 ",,,
