Charge Identifier,CDM Description, 2019 Price 
258454,IMPLANT SCREW SYNAPSE 3.5MM X 16MM 04.614.016," $3,600.00 "
258455,IMPLANT SCREW SYNAPSE 3.5MM X 22MM 04.614.022," $3,600.00 "
258458,IMPLANT CONNECTOR XIA OFFSET 03820101," $1,092.00 "
258459,IMPLANT PLATE ACET ST L 6-HOLE 75MM X 92.5MM 425796," $2,240.00 "
258460,IMPLANT SCREW S/T CORTEX 3.5MM X 80MM 338680, $65.00 
258464,IMPLANT KNEE TIB BASE PLATE UNIV TIB SZ 4 5521-B-400," $4,290.00 "
258516,IMPLANT KNEE MBT TRAY SLEEVE POROUS M/L 29MM 1294-54-000," $9,400.00 "
258521,IMPLANT KNEE FEM ADAPTER SIGMA 5 DEG 96-0781," $6,644.00 "
258522,CATHETER BALLOON ATLAS 12MM X 2CM X 75CM AT-75122, $690.00 
258523,CATHETER BALLOON ATLAS 12MM X 4CM X 75CM AT-75124, $690.00 
258524,CATHETER BALLOON ATLAS 16MM X 4CM X 75CM AT-75164, $690.00 
258525,CATHETER BALLOON ATLAS 16MM X 6CM X 75CM AT-75166, $690.00 
258526,CATHETER BALLOON ATLAS 18MM X 4CM X 75CM AT-75184, $855.00 
258527,CATHETER BALLOON ATLAS 18MM X 6CM X 75CM AT-75186, $855.00 
258528,CATHETER BALLOON ATLAS 20MM X 4CM X 75CM AT-75204, $885.00 
258531,CATHETER BALLOON ATLAS 26MM X 4CM X 75CM AT-75264," $1,125.00 "
258533,CATHETER BALLOON DORADO 10MM X 8CM X 80CM DR80108, $504.00 
258534,CATHETER BALLOON DORADO 3MM X 2CM X 80CM DR8032, $504.00 
258537,CATHETER BALLOON DORADO 6MM X 2CM X 80CM DR8062, $504.00 
258538,CATHETER BALLOON DORADO 7MM X 2CM X 80CM DR8072, $504.00 
258539,CATHETER BALLOON DORADO 9MM X 2CM X 80CM DR8092, $504.00 
258540,CATHETER BALLOON DORADO 9MM X 4CM X 80CM DR8094, $504.00 
258544,IMPLANT KNEE TIB BEARING SSK CONST 16MM X 63/67MM 183826," $5,529.00 "
258549,IMPLANT GRAFT VASCULAR PROPATEN 8MM X 50CM EPTFE HEPARIN HT084050A," $5,322.00 "
258572,CATHETER ABLATION HALO 90 90-9100," $4,413.00 "
258631,IMPLANT PLATE DOG LONG LW PROF 3 D BOX 2-HOLE 2MM 5305240, $729.00 
258654,"CATHETER DRAINAGE MULTIPURPOSE 8.5FR .038"" 45CM 6S ULT8.5-38-45-P-6S-CLM-RH G09765", $278.00 
258658,CATHETER DRAINAGE ONE-STEP 5FR 7CM 19GA CENTESIS (ORDER IN 5'S) OSC-5F-7L, $53.00 
258683,IMPLANT GRAFT VASCULAR PROPATEN 6MM X 80CM EPTFE HEPARIN HT066080A," $8,181.00 "
258684,IMPLANT LINER MOD CUP NEUTRAL LONGEVITY 50MM X 32MM 6305-050-32," $2,100.00 "
258704,IMPLANT SCREW LOCKING 4MM X 50MM 370550, $373.00 
258705,IMPLANT SCREW LOCKING 4MM X 28MM 370528, $373.00 
258706,IMPLANT SCREW S/T CORTEX 3.5MM X 42MM 338642, $65.00 
258707,IMPLANT K-WIRES AXSOS 2.0MM X 285MM 703583, $346.00 
258709,IMPLANT SCREW T2 LOCKING STRL 5MM X 80MM 1896-5080S, $567.00 
258712,IMPLANT SCREW LOCKING 4MM X 65MM 370565, $373.00 
258713,IMPLANT SCREW LOCKING 4MM X 55MM 370555, $373.00 
258734,IMPLANT EMBOLIC BEADBLOCK 300-500 MICROSPHERES 2ML IN 20ML SYRINGE EB2S305, $666.00 
258735,IMPLANT EMBOLIC BEADBLOCK 500-700 MICROSPHERES 2ML IN 20ML SYRINGE EB2S507, $666.00 
258736,IMPLANT EMBOLIC BEADBLOCK 700-900 MICROSPHERES 2ML IN 20ML SYRINGE EB2S709, $705.00 
258755,INTRODUCER MICROPUNCTURE SET 5FR MALLINCKRODT MODIFICATION SS WIRE MPIS-501-MKDT-101292 G07324, $83.00 
258778,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 70MM 71821270, $368.00 
258779,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 75MM 71821275, $368.00 
258780,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 34MM 71821234, $368.00 
258782,IMPLANT SCREW CRTX PERI-LOC VLP 3.5MM X 24MM 71821324, $66.00 
258784,IMPLANT SCREW CRTX PERI-LOC VLP 3.5MM X 26MM 71821326, $66.00 
258786,IMPLANT SCREW CRTX PERI-LOC VLP 3.5MM X 32MM 71821332, $66.00 
258810,IMPLANT GRAFT VASCULAR PROPATEN 8MM X 80CM EPTFE HEPARIN HT087080A," $8,427.00 "
258811,IMPLANT STENT PANCREATIC GEENEN 5FR 3CM GPSOS-5-3 G21513, $213.00 
258815,CATHETER BALLOON X-FORCE NEPHROSTOMY KIT W/INFLATION DEVICE 8MM X 15CM 996081, $833.00 
258816,CATHETER BALLOON X-FORCE NEPHROSTOMY KIT W/INFLATION DEVICE 10MM X 15CM 996101, $833.00 
258817,IMPLANT LEAD SPINAL CORD STIMULATOR 45CM 3874-45," $2,100.00 "
258857,IMPLANT MESH PANEL 1.5MM X 0.3MM CONTOUR 85MM X 55MM SP-1841," $1,440.00 "
258860,IMPLANT SCREW LAG TI GAMMA-3 10.5MM X 100MM 3060-0100S," $1,664.00 "
258863,IMPLANT HIP ENDO II HEAD 52MM 12-139028," $2,004.00 "
258864,IMPLANT HIP TAPER INSERT ENDO II-3 139248, $348.00 
258865,IMPLANT HIP TAPER INSERT ENDO II STD 139247, $348.00 
258872,GUIDE CATHETER BRITE 6F JL3.5ST 670-012-00, $119.00 
258875,GUIDE CATHETER BRITE 6F XB4.0 670-056-00, $119.00 
258879,GUIDE CATHETER BRITE 6F XBLAD3.5 670-060-00, $119.00 
258880,GUIDE CATHETER BRITE 6F XBLAD4.0 670-062-00, $119.00 
258882,GUIDE CATHETER BRITE 6F AL1.0 670-036-00, $119.00 
258887,"CATHETER GUIDE ENVOY ST 5FR 100CM 0.056"" 556-260-00"," $1,017.00 "
258896,IMPLANT LEAD CAPSUREFIX MRI SURESCAN 45CM 5086MRI45," $1,875.00 "
258934,IMPLANT PLATE SIDEWINDER LFT 7-HOLE MED SWOL-7M," $2,475.00 "
258935,IMPLANT PLATE SIDEWINDER RT-7 HOLE MED SWOR-7M," $2,475.00 "
258937,IMPLANT PLATE SIDEWINDER RT 7-HOLE WIDE SWOR-7W," $2,475.00 "
258938,IMPLANT MEDIAL MALLEOLAR SLED 42MM MMSLED-42," $2,175.00 "
258970,CATHETER DIAMONDBACK SOLID 2.00MM DB-SC-200L," $8,985.00 "
258988,IMPLANT KNEE POST SERIES A THIN PATELLA 3-PEG 31MM 184784," $1,032.00 "
258998,IMPLANT PLATE VECTRA T 1 LVL 14MM 450.551," $4,875.00 "
259012,IMPLANT CUFF URINARY CONTROL SYSTEM OCCLUSIVE AMS 800 BELT 5.5 72404133," $17,646.00 "
259024,IMPLANT SCREW CORT S/T SML HEX 2.7MM X 18MM 4827-018-01, $64.00 
259027,IMPLANT SCREW CORT S/T SML HEX 2.7MM X 28MM 4827-028-01, $64.00 
259081,IMPLANT SCREW PERI 3.5MM X 46MM W/2.7MM HEAD SELF-TAP 2348-046-35, $95.00 
259083,IMPLANT SCREW PERI 3.5MM X 52MM W/2.7MM HEAD SELF-TAP 2348-052-35, $95.00 
259087,IMPLANT SCREW PERI 3.5MM X 65MM W/2.7MM HEAD SELF-TAP 2348-065-35, $95.00 
259143,IMPLANT SCREW PERI LOCKING 3.5MM X 30MM 2359-030-35, $286.00 
259385,IMPLANT SCREW CORT 3.5MM X 90MM FULL THRD S/T 338690, $65.00 
259386,IMPLANT SCREW CORT 3.5MM X 95MM FULL THRD S/T 338695, $65.00 
259388,IMPLANT SCREW CORT 3.5MM X 110MM FULL THRD S/T 338710, $90.00 
259391,IMPLANT SCREW CORT 4.5MM X 18MM FULL THRD S/T 340618, $75.00 
259393,IMPLANT SCREW CORT 4.5MM X 22MM FULL THRD S/T 340622, $75.00 
259394,IMPLANT SCREW CORT 4.5MM X 24MM FULL THRD S/T 340624, $75.00 
259395,IMPLANT SCREW CORT 4.5MM X 26MM FULL THRD S/T 340626, $75.00 
259396,IMPLANT SCREW CORT 4.5MM X 28MM FULL THRD S/T 340628, $75.00 
259397,IMPLANT SCREW CORT 4.5MM X 30MM FULL THRD S/T 340630, $75.00 
259398,IMPLANT SCREW CORT 4.5MM X 34MM FULL THRD S/T 340634, $75.00 
259399,IMPLANT SCREW CORT 4.5MM X 36MM FULL THRD S/T 340636, $75.00 
259400,IMPLANT SCREW CORT 4.5MM X 38MM FULL THRD S/T 340638, $75.00 
259401,IMPLANT SCREW CORT 4.5MM X 40MM FULL THRD S/T 340640, $75.00 
259402,IMPLANT SCREW CORT 4.5MM X 44MM FULL THRD S/T 340644, $75.00 
259403,IMPLANT SCREW CORT 4.5MM X 46MM FULL THRD S/T 340646, $75.00 
259404,IMPLANT SCREW CORT 4.5MM X 48MM FULL THRD S/T 340648, $75.00 
259410,IMPLANT SCREW CORT 4.5MM X 60MM FULL THRD S/T 340660, $75.00 
259411,IMPLANT SCREW CORT 4.5MM X 65MM FULL THRD S/T 340665, $75.00 
259413,IMPLANT SCREW CORT 4.5MM X 75MM FULL THRD S/T 340675, $75.00 
259414,IMPLANT SCREW CORT 4.5MM X 80MM FULL THRD S/T 340680, $75.00 
259416,IMPLANT SCREW CORT 4.5MM X 90MM FULL THRD S/T 340690, $75.00 
259417,IMPLANT SCREW CORT 4.5MM X 95MM FULL THRD S/T 340695, $75.00 
259422,IMPLANT SCREW CORT 4.5MM X 120MM FULL THRD S/T 340720, $99.00 
259457,IMPLANT WASHER ASNIS III WASHER F/SCREWS 6.5/8.0MM 390016, $117.00 
259462,IMPLANT PLATE MPS CVD RADIUS 108MM HOLES 12 425612," $1,389.00 "
259477,IMPLANT PLATE MPS FLEX HOLES 4 425754, $946.00 
259495,COUNTERSINK W/AO FITTING 06.0 X 100 702811, $495.00 
259556,IMPLANT PIN FIXATION APEX S/D HALF 60 THRD 6MM X 180MM 5021-6-180, $431.00 
259569,IMPLANT SCREW PERI LOCKING 4.5MM X 42MM 2359-042-45, $366.00 
259573,CATHETER EXTRACTION PRONTO V3 140CM 5003, $750.00 
259574,IMPLANT STENT HERCULINK ELITE 6.0MM X 12MM X 135CM 1011499-12," $2,625.00 "
259575,IMPLANT STENT HERCULINK ELITE 5.5MM X 18MM X 135CM 1011496-18," $2,625.00 "
259593,IMPLANT SCREW LOW PROFILE 4.0MM X 24MM AR-8940-24, $180.00 
259594,IMPLANT SCREW LOW PROFILE 4.0MM X 30MM AR-8940-30, $180.00 
259600,IMPLANT STENT PRECISE PRO RX 6FR 9MM X 40MM 135CM PC0940RXC," $4,350.00 "
259634,IMPLANT STENT HERCULINK ELITE 6.0MM X 18MM X 135CM 1011499-18," $2,625.00 "
259643,"IMPLANT MESH PARIETEX COLLAGEN POLYESTER COMPOSITE 8"" RND (BX/1) SYNPCO20X"," $2,511.00 "
259649,SPINCHERTOME OMNI FUSION PRE-LOADED W/GUIDEWIRE 5.5FR SHEATH DOME TIP FS-OMNI-21-480 G48676," $1,122.00 "
259662,IMPLANT END CAP VLIFT 0 DEG 18MM 48291180, $711.00 
259944,IMPLANT SCREW CORTEX PERI-LOC VLP 3.5MM X 10MM 71821310, $66.00 
259946,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 10MM 71821210, $368.00 
259947,IMPLANT SCREW SYNAPSE 3.5MM X 14MM 04.614.014," $3,600.00 "
259948,IMPLANT SCREW SYNAPSE 4.0MM X 14MM 04.614.114," $3,600.00 "
259951,IMPLANT STENT BILIARY SD EXPRESS 5.0MM X 19MM X 150CM 37912-51915/H74937912519150," $2,850.00 "
259954,IMPLANT STENT BILIARY SD EXPRESS 7.0MM X 15MM X 150CM 37911-71515/H74937911715150," $2,850.00 "
259955,IMPLANT STENT BILIARY SD EXPRESS 7.0MM X 19MM X 150CM 37912-71915/H74937912719150," $2,850.00 "
259957,INTRODUCER MICROPUNCTURE 4FR ECHOTIP TRANSITIONLESS SET MPIS-401-NT-U-SST G47944, $99.00 
259958,INTRODUCER MICROPUNCTURE 5FR ECHOTIP TRANSITIONLESS SET MPIS-501-NT-U-SST G43871, $99.00 
259959,"INTRODUCER MICROPUNCTURE 5FR 10CM 0.018"" STIFF TRANSITIONLESS SET MPIS-501-10.0-SC-SST G48006", $132.00 
259998,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #1 ST 17-001-01," $1,158.00 "
259999,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #2 ST 17-001-02," $1,158.00 "
260000,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #3 BAYONET 17-001-03," $1,158.00 "
260002,IMPLANT NEURO CLIP ANEURYSM SUGITA STD # 5 SIDE BENT 17-001-05," $1,158.00 "
260003,IMPLANT NEURO CLIP ANEURYSM SUGITA STD # 6 SIDE CVD 17-001-06," $1,158.00 "
260007,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #10 ST 17-001-10," $1,158.00 "
260012,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #15 ST 17-001-15," $1,158.00 "
260013,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #16 SLIGHT CVD BAYONET 17-001-16," $1,158.00 "
260014,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #17 SLIGHT CVD 17-001-17," $1,158.00 "
260015,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #18 ST 17-001-18," $1,158.00 "
260018,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #22 L-SHAPE 17-001-22," $1,158.00 "
260025,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #50 CVD 17-001-50," $1,158.00 "
260027,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #61 L-SHAPE CVD 17-001-61," $1,158.00 "
260028,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #62 1/4 CVD 17-001-62," $1,158.00 "
260030,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #64 (4B) SLIGHT BENT 17-001-64," $1,158.00 "
260032,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #66 CVD 17-001-66," $1,158.00 "
260033,IMPLANT NEURO CLIP ANEURYSM SUGITA STD #68 (8B) SLIGHT CVD 17-001-68," $1,158.00 "
260037,IMPLANT NEURO CLIP ANEURYSM SUGITA STD TEMP #52 ST 17-001-52," $1,158.00 "
260040,IMPLANT NEURO CLIP ANEURYSM SUGITA STD TEMP #55 SLIGHT CVD 17-001-55," $1,158.00 "
260060,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #81 ST 17-001-81," $1,158.00 "
260063,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #85 CVD 17-001-85," $1,158.00 "
260064,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #86 SIDE CVD 17-001-86," $1,158.00 "
260066,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #88 CVD 17-001-88," $1,158.00 "
260069,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #96 ST SLIM TIP 17-001-96," $1,158.00 "
260071,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #98 CVD SLIM TIP 17-001-98," $1,158.00 "
260072,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #99 CVD SLIM TIP 17-001-99," $1,158.00 "
260073,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #002-15 ST 17-002-15," $1,158.00 "
260074,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #002-16 CVD 17-002-16," $1,158.00 "
260076,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #002-18 SLIGHT CVD 17-002-18," $1,158.00 "
260078,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #002-20 SIDE BENT 17-002-20," $1,158.00 "
260079,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI #002-21 CVD SLIM TIP 17-002-21," $1,158.00 "
260080,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI TEMP #56 ST 17-001-56," $1,158.00 "
260283,CATHETER BALLOON DORADO 5MM X 2CM X 120CM DR12052, $504.00 
260290,CATHETER BALLOON DORADO 5MM X 4CM X 120CM DR12054, $504.00 
260291,CATHETER BALLOON DORADO 6MM X 4CM X 120CM DR12064, $504.00 
260292,CATHETER BALLOON DORADO 7MM X 4CM X 120CM DR12074, $504.00 
260293,CATHETER BALLOON DORADO 8MM X 4CM X 120CM DR12084, $504.00 
260295,CATHETER BALLOON DORADO 10MM X 4CM X 120CM DR120104, $504.00 
260315,IMPLANT HIP SHELL TRIDENT HEMISPHERICAL 60MM SZ F 509-02-60F," $10,334.00 "
260316,IMPLANT STENT HERCULINK ELITE 7.0MM X 15MM X 135CM 1011505-15," $2,625.00 "
260354,IMPLANT PIN HOFFMAN S/D 5MM X 120MM 5018-5-120, $420.00 
260360,IMPLANT HIP ENDO II HEAD 53MM 12-139030," $2,004.00 "
260364,IMPLANT POWER PORT MRI PLASTIC W/ATTACHABLE CHRONOFLEX 8FR CATH 1808000, $870.00 
260365,IMPLANT POWER PORT TI W/ATTACHABLE CHRONOFLEX 8FR CATH LOW PROFILE 1708060," $1,044.00 "
260366,IMPLANT LEAD KIT F/SPINAL CORD STIMULATION 30CM 39565-30," $15,600.00 "
260367,IMPLANT EXTENSION KIT LOW IMPEDANCE 1 X 8 37081-20," $1,785.00 "
260486,IMPLANT HIP HEAD FEM 32MM +4 5-40 TAPER VIT 6260-5-232," $1,485.00 "
260527,IMPLANT HAND PEG THRD MUTLIDIR 2.5MM X 20MM 1312-11-120, $398.00 
260532,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 8MM 71821208, $368.00 
260534,IMPLANT SCREW CORTEX PERI-LOC VLP 3.5MM X 14MM 71821314, $66.00 
260552,IMPLANT CUFF URINARY CONTROL SYSTEM OCCLUSIVE AMS 800 W/INHIBIZONE 72404131," $17,646.00 "
260557,IMPLANT CATHETER DIALYSIS DL PALINDROME PRECISION RUBY SLOT KIT 55CM X 72CM  8888145066P, $866.00 
260626,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 20MM X 20CM (PK/1) 45-482020," $2,693.00 "
260704,IMPLANT SCREW LEGACY 5.5MM X 45MM 75445545," $2,537.00 "
260705,IMPLANT CONNECTOR CROSSLINK 30-35MM 8115530," $3,749.00 "
260745,THROMBECTOMY SET SPIROFLEX ULTRA 106553-001," $5,190.00 "
260746,THROMBECTOMY SET SPIROFLEX VG ULTRA 106608-001," $5,190.00 "
260793,IMPLANT CEMENT BONE HYDROSET 15ML SYN CALCIUM PHOSPHATE 79-43915," $10,345.00 "
260820,IMPLANT SCREW VERTEX MAS 3.5MM X 12MM 6958712," $2,531.00 "
260821,IMPLANT SCREW VERTEX MAS 3.5MM X 14MM 6958714," $2,531.00 "
260822,IMPLANT SCREW VERTEX MAX 4.0MM X 20MM 6958820," $2,531.00 "
260823,IMPLANT SCREW VERTEX MAX 4.0MM X 24MM 6958824," $2,531.00 "
260830,IMPLANT SCREW LOCKING PERI-LOC VLP 3.5MM X 14MM 71821214, $368.00 
260831,IMPLANT SCREW CORTEX PERI-LOC VLP 3.5MM X16MM 71821316, $66.00 
260838,IMPLANT KNEE POST SERIES A STD PATELLA 3-PEG 34MM 184766," $1,032.00 "
260855,IMPLANT HIP UNIV HEAD BIPOLAR UHR 41MM X 26MM UH1-41-26," $1,815.00 "
260904,CATHETER MICRO STEERABLE COURIER ENZO 190 MSH190000-00," $2,244.00 "
260910,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL PUSHABLE 18 SYSTEM 2MM X 2CM (PK/3) 45-280202, $421.00 
260911,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL PUSHABLE 18 SYSTEM 3MM X 2CM (PK/3) 45-280302, $421.00 
260912,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL PUSHABLE 18 SYSTEM 4MM X 2CM (PK/3) 45-280402, $421.00 
260919,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL PUSHABLE 18 SYSTEM 6MM X 10CM (PK/3) 45-280610, $900.00 
260933,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 4MM X 10CM (PK/1) 45-480410," $2,384.00 "
260934,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 6MM X 10CM (PK/1) 45-480610," $2,384.00 "
260935,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 8MM X 10CM (PK/1) 45-480810," $2,384.00 "
260936,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 10MM X 10CM (PK/1) 45-481010," $2,384.00 "
260937,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 8MM X 15CM (PK/1) 45-480815," $2,553.00 "
260938,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 10MM X 15CM (PK/1) 45-481015," $2,553.00 "
260940,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 10MM X 20CM (PK/1) 45-481020," $2,693.00 "
260941,IMPLANT COIL AZUR PERIPHERAL HYDROCOIL DETACHABLE 18 SYSTEM 15MM X 20CM (PK/1) 45-481520," $2,693.00 "
261019,IMPLANT KNEE ART SURF LPS FLEX FIXED NSM SZ EF 5-6 12MM 5964-040-17," $1,800.00 "
261024,IMPLANT SHOULDER HUMERAL PE CUP 38MM +3MM 1307-38-203/130738203," $3,900.00 "
261025,IMPLANT SHOULDER METAGLENE DELTA XTEND 1307-60-000/130760000," $5,100.00 "
261026,IMPLANT SHOULDER GLENOSPHERE DELTA XTEND STD 38MM 1307-60-138/130760138," $7,500.00 "
261027,IMPLANT SCREW METAGLENE LOCKING DELTA XTEND 4.5MM X 18MM 1307-70-018/130770018, $630.00 
261028,IMPLANT SCREW METAGLENE NON-LOCKING DELTA XTEND 4.5MM X 36MM 1307-70-036/130770036, $630.00 
261029,IMPLANT SCREW METAGLENE LOCKING DELTA XTEND 4.5MM X 36MM 1307-90-036/130790036, $630.00 
261030,IMPLANT SCREW METAGLENE LOCKING DELTA XTEND 4.5MM X 42MM 1307-90-042/130790042, $630.00 
261037,IMPLANT PLATE FEMUR DSTL LAT 8-HOLE RT 437582," $5,264.00 "
261038,IMPLANT K-WIRE TROCAR POINT (ORDER QTY 10EA) 2MM X 285MM 390191, $27.00 
261039,IMPLANT SCREW LOCKING 5MM X 90MM 370390, $395.00 
261040,IMPLANT SCREW LOCKING 5MM X 40MM 370340, $395.00 
261042,IMPLANT SCREW LOCKING 5MM X 85MM 370385, $395.00 
261043,IMPLANT SCREW LOCKING 5MM X 80MM 370380, $395.00 
261061,IMPLANT SCREW SYNAPSE 3.5MM X 12MM 04.614.012," $3,600.00 "
261100,"INTRODUCER SHEATH CHECK-FLO ANSEL 4.0FR /.018"".038"" 90CM KCFW-4.0-18/35-90-RB-ANL0-HC G48188", $387.00 
261142,IMPLANT MARKER BIOPSY SECURMARK BARBELL SMARK-CELERO, $114.00 
261310,IMPLANT SHOULDER HUMERAL PE CUP STD DELTA XTEND 38MM," $3,900.00 "
261444,IMPLANT SCREW AUTODRIVE 1.6MM X 6MM 211-1606, $281.00 
261491,IMPLANT KNEE ART SURF LPS SZ CD 3-4 12MM 5964-030-12," $1,800.00 "
261534,RELOAD ENDO ECHELON BLUE REG 45MM ECR45B, $372.00 
261536,RELOAD ENDO ECHELON GOLD REG THICK 45MM ECR45D, $372.00 
261566,IMPLANT PLUG VASCULAR AMPLATZER II 12MM 9-AVP2-012," $2,646.00 "
261567,IMPLANT PLUG VASCULAR AMPLATZER II 14MM 9-AVP2-014," $2,646.00 "
261569,IMPLANT LEAD SPRINT QUATTRO SECURE VENTRICLE 58CM 694758," $10,575.00 "
261580,"ACCESSORY KIT W/14GA 6"" NDL 3550-28", $165.00 
261604,DEVICE EMBOLIC PROTECTION SPIDER-FX 6MM 320/190CM SPD2-US-060-320," $4,185.00 "
261618,IMPLANT SCREW CROSSPIN S/T 2.3MM X 14MM 58-23014, $235.00 
261620,IMPLANT SCREW CROSSPIN S/T 2.3MM X 20MM 58-23008, $235.00 
261621,IMPLANT SCREW CROSSPIN S/T 2.3MM X 12MM 58-23012E, $235.00 
261622,IMPLANT SCREW CROSSPIN S/T 2.3MM X 11MM 58-23011E, $235.00 
261623,IMPLANT SCREW CROSSPIN S/T 2.3MM X 13MM 58-23013E, $235.00 
261632,K-WIRE W/OLIVE STOP (ORDER QTY 5'S) 56-40281, $75.00 
261758,IMPLANT KNEE ART SURF LPS FLEX FIXED NSM SZ EF 5-6 14MM 5964-040-14," $1,800.00 "
261770,IMPLANT PLATE POST LAT/DSTL HUMERUS 7-HOLE LFT 3.5MM 241.267," $3,248.00 "
261802,IMPLANT ROD OASYS 3.5MM X 50MM 48552050, $525.00 
261803,IMPLANT SCREW OASYS BIASED 3.5MM X 10MM 48552310," $2,903.00 "
261825,IMPLANT SCREW CORT HEX S/T SML 3.5MM X 18MM 4835-018-01, $80.00 
261887,IMPLANT COIL MICROPLEX 10V HYPERSOFT HELICAL 2MM X 1CM 8510-0201," $2,430.00 "
261888,IMPLANT COIL MICROPLEX 10V HYPERSOFT HELICAL 2MM X 2CM 8510-0202," $2,430.00 "
261889,IMPLANT COIL MICROPLEX 10V HYPERSOFT HELICAL 2MM X 3CM 8510-0203," $2,430.00 "
261916,IMPLANT NAIL TI GAMMA-3 11MM X 360MM 125 DEG LFT 3325-0360S," $5,941.00 "
261918,IMPLANT MESH MEDPOR PTERIONAL RT 44MM X 43MM X 6MM 9864," $2,964.00 "
261919,IMPLANT MESH MEDPOR PTERIONAL LFT 44MM X 43MM X 6MM 9865," $2,964.00 "
261933,IMPLANT COIL CASHMERE COMPLEX SR .014 SYS 5MM X 12CM CRC140512-30," $4,039.00 "
261945,IMPLANT COIL AXIUM 3D 2MM X 2MM QC-2-2-3D," $2,685.00 "
261946,IMPLANT COIL AXIUM 3D 2MM X 4MM QC-2-4-3D," $2,685.00 "
261947,IMPLANT COIL AXIUM 3D 2MM X 6MM QC-2-6-3D," $2,685.00 "
261948,IMPLANT COIL AXIUM 3D 3MM X 4MM QC-3-4-3D," $2,685.00 "
261949,IMPLANT COIL AXIUM 3D 3MM X 6MM QC-3-6-3D," $2,685.00 "
261950,IMPLANT COIL AXIUM 3D 3MM X 8MM QC-3-8-3D," $2,685.00 "
261951,IMPLANT COIL AXIUM 3D 4MM X 8MM QC-4-8-3D," $2,685.00 "
261952,IMPLANT COIL AXIUM 3D 4MM X 12MM QC-4-12-3D," $2,685.00 "
261953,IMPLANT COIL AXIUM 3D 5MM X 10MM QC-5-10-3D," $2,685.00 "
261954,IMPLANT COIL AXIUM 3D 6MM X 15MM QC-6-15-3D," $2,685.00 "
261955,IMPLANT COIL AXIUM 3D 6MM X 20MM QC-6-20-3D," $2,685.00 "
261956,IMPLANT COIL AXIUM 3D 7MM X 20MM QC-7-20-3D," $2,685.00 "
261957,IMPLANT COIL AXIUM 3D 7MM X 30MM QC-7-30-3D," $2,793.00 "
261958,IMPLANT COIL AXIUM 3D 8MM X 20MM QC-8-20-3D," $2,685.00 "
261959,IMPLANT COIL AXIUM 3D 8MM X 30MM QC-8-30-3D," $2,793.00 "
261960,IMPLANT COIL AXIUM 3D 9MM X 20MM QC-9-20-3D," $2,685.00 "
261961,IMPLANT COIL AXIUM 3D 9MM X 30MM QC-9-30-3D," $2,685.00 "
261962,IMPLANT COIL AXIUM 3D 10MM X 20MM QC-10-20-3D," $2,685.00 "
