Description,Charge
Catheter Swan,"$2,451.60"
Catheter Swan 6Frx110Cm T,$630.00
Catheter Swan 7Fr,$403.75
Catheter Tg,"$3,000.00"
Catheter Thrombectomy,"$8,250.00"
Catheter Thrombectomy 6F,"$2,640.00"
Catheter Thrombectomy Pelp,"$1,840.00"
Catheter Thrombectomy Pevc3,"$1,840.00"
Catheter Ts,"$3,000.00"
Catheter Ultrasound 018,"$3,180.00"
Catheter Ureteral,"$1,384.72"
Catheter Ureteral,$187.52
Catheter Ureteral,$89.78
Catheter Wfj 5 F,$234.15
Catheterguide 6Al1,$323.00
Cathinones Mhl,$62.00
Cbc With Differential,$136.00
ceFAZolin 1000mg I(Ancef),$50.00
ceFAZolin 1g/ Water Syr.,$62.00
ceFAZolin 2 g/D5W 100mL Premix,$94.35
ceFAZolin 2g/ Water  Syr.,$94.95
ceFAZolin 330mg/mL IM NICU,$25.00
ceFAZolin 3g/NS 115mL P,$87.40
ceFAZolin Mdv I,$192.00
Cefdinir 300 mg C (Omnicef),$36.20
Cefepime 1g I (Maxipime),$162.65
Cefepime 2g I(Maxipime),$315.65
Cefixime 400mg C (Suprax),$197.10
Cefotaxime 100 mg/mL IV NICU,$50.00
Cefotaxime 1000mg/10mL I,$50.00
Cefotaxime 300mg/mL IM NICU,$25.00
cefoTEtan 1g I(Cefotan),$184.60
cefOXitin 1g Inj (Mefoxin),$57.60
cefOXitin 2 g I (Mexfoxin),$115.20
Cefprozil 250 mg/5 mL L,$26.85
Ceftaroline 600mg Inj,"$1,750.70"
cefTAZidime 1g I (Fortaz),$50.00
cefTAZidime 280mg/mL IM - NICU,$69.15
cefTAZidime 50mg/mL IS - NICU,$52.00
Ceftazidime-Avibactam2-0.5g Inj,"$2,052.45"
Ceftolozane-Tazobactam 1.5g Inj,$885.55
cefTRIAXone 1g Inj,$140.00
CefTRIAXone 250mg I,$50.00
CefTRIAXone 2g Inj,$25.00
Cefuroxime 1.5g I,$28.75
Cefuroxime 250mg T(Ceftin),$31.15
Cefuroxime 500mg T(Ceftin),$56.75
Cefuroxime 750mg I,$51.20
Celecoxib 100mg C(CeleBREX),$32.70
Celecoxib 200mg C(CeleBREX),$16.95
Celiac Disease Diagnostic Panel,$126.00
Cell Count Fluid No Diff,$121.00
Cement,"$1,485.20"
Cement,$541.35
Cement,$389.50
Cement,"$1,280.00"
Cement,"$1,504.00"
Cement,"$1,766.00"
Cement,$225.75
Cement,"$1,956.00"
Cement,$475.00
Cement,"$1,361.88"
Cement,$701.28
Cement,"$1,738.88"
Cement,$451.25
Cement,"$1,620.00"
Cement ,"$4,812.50"
Cement With Gentamycin,$868.50
Central Line Placement,"$1,294.00"
Centromere Antibody Igg,$124.00
Cephalexin 125mg/2.5mL L,$10.00
Cephalexin 250mg C(Keflex),$10.00
Cephalexin 250mg/5mL L,$10.20
Cephalexin 500mg C(Keflex),$10.00
Ceramic Head,"$3,745.00"
Cerebral Spinal Fluid Glucose,$68.00
Cerebral Spinal Fluid Protein,$70.00
Ceruloplasmin,$126.00
Cervical Disc,"$18,875.00"
Cervical Stabilzation,"$14,347.80"
Cetirizine 10mg T(ZyrTEC),$0.00
Cetirizine 1mg/1mL LB,$10.00
Cetirizine 5 mg Tab,$17.65
Cetirizine 5mg/5mL L UD,$14.75
Cetuximab 100mg/50mL I,$83.80
Cetuximab 200mg/100mL I,"$5,989.45"
Cevimeline 30 mg caps,$59.90
Charcoal Aqueous L 50g/240mL,$0.00
Charging System,"$9,000.00"
Charging System,"$8,400.00"
Charging System,"$5,936.00"
Charging System,"$6,037.50"
Charging System,"$13,020.00"
Chemical Cautery Of Wound,$378.00
Chemiluminescent Assay,$46.00
Chemo Inf Ea Hr Of Pts Own Med,$647.00
Chemo Inf Init Hr Of Pts Own Med,$647.00
Chemo Infusion Concurrent Drug,$647.00
Chemo Infusion Each Hour,$647.00
Chemo Infusion First Hr First Drg,$647.00
Chemo Infusion Gt 8Hrs Using Pump,"$1,294.00"
Chemo Infusion Sequential Drug,$647.00
Chemo Iv Push Each Addl Drug,$647.00
Chemo Iv Push Initial Or Single,$647.00
Chemo Push Addl Med Of Pts Own,$647.00
Chemo Push Initial Of Pts Own Med,$647.00
Chemo Refill And Maint Port Pump,$647.00
Chemo Refill Implanted Pump,$539.00
Chemo Sub Q Im Hormonal,$324.00
Chemo Sub Q Im Non Hormonal,$324.00
Chemo Subq Horm Of Pts Own Med,$324.00
Chemo Subq Nonhorm Of Pts Own Med,$324.00
Cherry Syrup - Flavoring,$10.00
Chikungunya Antibody,$134.00
Chikungunya By Pcr,$229.00
Chlamydia,$19.00
Chlamydia Igm,$20.00
Chlamydia Pneumoniae,$195.00
Chlorambucil 2mg T(Leukeran),$207.10
Chloraseptic 180mL Spr,$0.00
ChlordiazePOX-Clid C(Librax),$36.40
chlordiazePOXIDE 10mg C(Librium),$25.00
chlordiazePOXIDE 25mg C(Librium),$25.00
chlordiazePOXIDE 5mg C(Librium),$25.00
Chlorhexidine 0.12% Topical Soln 480mL,$73.65
Chlorhexidine 15mL L(Peridex),$10.00
Chlor-HYDROcodone L(Tussionex) 5mL,$26.75
Chloride,$0.00
Chloride Blood,$44.00
Chloride Blood Point Of Care,$44.00
Chloride Urine,$74.00
Chloride Urine Supersat Prof,$11.00
Chloroprocaine 3% 20mL PfI(Nesacain,$143.45
Chlorothiazide 500mg Inj.,"$1,345.35"
Chlorothiazide 50mg/mL L - NICU,$10.00
Chlorpheniramine 4mg T(Chlor-Trimet,$0.00
chlorproMAZINE 100mg T(Thorazine),$105.40
chlorproMAZINE 10mg T(Thorazine),$29.75
chlorproMAZINE 25mg T(Thorazine),$54.10
chlorproMAZINE 25mg/mL 2mL I(Thoraz,$180.10
Chlorthalidone 25mg T(Hygroton),$10.00
Chlorzoxazone 500mg T(Parafon Forte,$10.00
"Cholecalciferol 1,000 int'l units T(VitaminD3)",$0.00
Cholecalciferol 400 int'l unit T(Vitamin D3),$0.00
"Cholecalciferol 5,000 IU C(Vitamin D3)",$0.00
Cholesterol,$76.00
Cholestyramine 4g(Anhydrous) Lt Pkt,$23.75
Cholestyramine 5g/ZincOxide 20% TP,"$6,095.50"
Chromatin Ab Igg,$131.00
Chromatography W Mass Spec,$296.00
Chromic Chloride Hexa 4 mcg/mL,$85.40
Chromium Serum,$125.00
Chromogranin A,$122.00
Chromosome Ana,$386.00
Chromosome Analysis Csi,$337.00
Chromosome Infant Tissue,$670.00
Chromosome Study Cmh,"$1,186.00"
Chymotrypsin Stool,$181.00
Ciclopirox Olamine 0.77% TC 30g,$350.70
Cilostazol 100 mg Tab,$12.90
Cilostazol 50 mg Tab,$12.90
Cinacalcet 30 mg T(Sensipar),$227.30
Ciprofloxacin 6%  Otic Susp,"$2,011.40"
Ciproflox-Fluoc 0.3-0.025% Otic Soln,$130.95
Cisatracurium 100mg/50mL - for IV Set Use,$140.25
Cisatracurium 10mg/5mL I(Nimbex),$142.30
CISplatin 10mg/10mL I,$75.00
Citrate Acid Urine,$120.00
Citric Acid/Mg Ox/Na Pico 1 kit,$911.80
Citric Acid-Na Citrate 30mL L(Bicit,$10.00
Citric Acid-Na Citrate L(Bicitra),$10.00
Ck Isoenymes,$166.00
Cladribine 10mg/10mL I,"$3,319.00"
Clamp,"$1,220.00"
Clarithromycin 125mg/2.5mL L(Biaxin),$31.95
Clarithromycin 250mg T(Biaxin),$42.60
Clarithromycin 500mg T(Biaxin),$42.60
Clindamycin 1% TL 60mL,$894.80
Clindamycin 150mg C(Cleocin),$10.00
Clindamycin 150mg/10mL Oral Liq,$96.65
Clindamycin 300mg C(Cleocin),$26.35
Clindamycin 600mg/4mL Inj,$50.00
Clindamycin 600mg/D5W 50mL,$83.60
Clindamycin 75mg/5mL Oral Liq,$17.60
Clindamycin 900mg/D5W 50mL,$154.05
Clinic Visit,$194.00
Clip,"$2,836.00"
Clip Filshie,$545.21
Clobetasol 0.05% 30g TC(Temovate),"$1,587.85"
Clobetasol 0.05% 30g TO(Temovate),"$1,604.70"
Clofarabine 1mg/mL Inj 20mL,"$16,944.30"
clomiPRAMINE 25mg Cap,$79.55
clomiPRAMINE 50mg Cap,$79.60
Clomipramine And Metabolite,$132.00
clonazePAM 0.25mg ODT (KlonoPIN),$25.00
clonazePAM 0.5mg T(KlonoPIN),$25.00
clonazePAM 1mg T(KlonoPIN),$25.00
cloNIDine 0.1mg T(Catapres),$10.00
cloNIDine 0.1mg TD(Catapres-1),$233.20
cloNIDine 0.2mg T(Catapres),$10.00
cloNIDine 0.2mg TD(Catapres-2),$379.05
cloNIDine 0.3mg T(Catapres),$10.00
cloNIDine 0.3mg TD(Catapres-3),$510.35
cloNIDine 10mcg/mL Oral Syrup - NICU,$14.15
Clopidogrel 300mg T (Plavix),$218.55
Clopidogrel 75mg T(Plavix),$30.90
Closure Atrial Septal Defect Pfo,"$20,940.00"
Closure Device Mx,"$1,220.00"
Closure Device Pc,$990.00
Closure Device Vascular,$990.00
Closure Patent Ductus,"$20,940.00"
Closure Ventricular Septal Defect,"$20,940.00"
Clotrimazole 1% 15g TC(Lotrimin),$0.00
Clotrimazole 1% 45g VC(Gyne-Lotr,$0.00
Clotrimazole 10mg Loz(Mycelex),$22.75
Clotrimazole-Beta 15g TC(Lotrisone),$240.05
Clotrimazole-Beta 45g TC(Lotrisone),$487.65
Clozapine,$130.00
CloZAPine 100mg T(Clozaril),$24.25
cloZAPine 25mg T(Clozaril),$10.00
Cmv Ab Igg Avidity,$178.00
Cmv Igg,$33.00
Cn Sestimibi Radiopharm,$95.00
Coag Factor V Activity,$131.00
Coag Factor Vii Activity,$115.00
Coag Factor Viii Activity,$130.00
Coaptite,"$1,871.52"
Cobalt Blood,$127.00
Cocaine 4% Topical Soln 4mL,"$1,458.95"
Cocaine And Metabolites,$85.00
Coccidiodes Antibody,$118.00
Coccidioides Ab Panel,$58.00
Coccidioides Antibody Cf,$29.00
Codeine 30mg T,$25.00
Codeine-Promethazine 10mL Liq UD,$25.00
Codeine-Promethazine 2-1.25mg/mL Oral L,$25.00
Codeine-Promethazine 5mL Liq UD,$25.00
Coenzyme Q10 Total,$154.00
Coil,"$3,587.50"
Coil,"$3,972.50"
Coil,$562.28
Coil,"$4,410.00"
Coil,"$5,559.75"
Coil,"$4,147.50"
Coil,"$5,246.36"
Coil,"$4,805.50"
Coil,"$3,762.50"
Coil,"$5,241.60"
Coil,"$1,240.04"
Coil,$810.00
Coil,"$1,820.00"
Coil,"$2,020.00"
Coil,"$2,258.00"
Col Apc Procedure,"$2,157.00"
Col Bicap,$755.00
Col Dilitation,$755.00
Col Foreign Body Removal,$863.00
Col Hemorrhoid Banding,$863.00
Col Lesion,$863.00
Col Mucosal Resection,"$2,157.00"
Col Polypectomy Or Biopsy,$863.00
Col Sclerotherapy,$863.00
Col Stent Placement,$863.00
Colchicine 0.6mg T,$47.70
Cold Agglutinins,$121.00
Colesevelam 625 mg T(Welchol),$28.05
Colestipol 1g T(Colestid),$10.00
Colestipol 5g Pkt(Colestid),$27.85
Colistimethate 150mg (colistin base) I,$229.00
Collagen,"$1,980.00"
Collagen,"$2,110.00"
Collagen,"$2,790.00"
Collagen,"$4,495.05"
Collagen,"$2,042.00"
Collagen,"$2,830.72"
Collagen,"$6,224.40"
Collagen,"$3,250.80"
Collagen,"$7,584.00"
Collagen Crosslinks,$136.00
Collagenase 30g TO(Santyl),"$1,709.95"
Collodion Flexible L 100mL,$853.35
Colloidal Oatmeal 1.5oz Pkt(Aveeno),$0.00
Colonoscopy,"$1,349.00"
Colonoscopy With Polyp Or Biopsy,"$2,211.00"
Color Flow,$755.00
Complement Component C3,$154.00
Complement Component C4,$154.00
Complement Total Ch50,$121.00
Complete Echo,"$3,127.00"
Complete Echo With Contrast,"$3,859.00"
Component Arterial Graft,"$4,270.00"
Component Distal,"$7,443.00"
Component Distal,"$8,017.20"
Component Elbow,"$14,061.00"
Component Elbow,"$6,692.00"
Component Femoral,"$16,443.75"
Component Femoral,"$20,062.25"
Component Femoral,"$5,075.00"
Component Femoral,"$20,064.38"
Component Femoral,"$21,616.88"
Component Femoral,"$19,424.80"
Component Femoral,"$13,333.50"
Component Femoral,"$14,436.90"
Component Femoral,"$4,287.50"
Component Femoral,"$18,590.00"
Component Femoral,"$12,682.80"
Component Femoral,"$15,480.75"
Component Femoral,"$12,987.27"
Component Femoral,"$12,768.00"
Component Femoral,"$11,706.75"
Component Femoral,"$24,015.00"
Component Femoral,"$8,352.00"
Component Femoral,"$15,137.50"
Component Femoral,"$11,038.50"
Component Femoral,"$15,062.50"
Component Femoral,"$6,037.50"
Component Femoral,"$24,573.75"
Component Femoral,"$14,623.35"
Component Femoral,"$6,006.00"
Component Femoral,"$18,825.00"
Component Femoral,"$11,115.00"
Component Femoral,"$23,675.00"
Component Femoral,"$21,675.00"
Component Femoral,"$20,598.75"
Component Femoral,"$9,204.66"
Component Femoral,"$21,037.50"
Component Femoral,"$9,527.85"
Component Femoral,"$13,138.32"
Component Femoral,"$9,961.50"
Component Femoral,"$13,267.11"
Component Femoral,"$12,753.00"
Component Femoral,"$15,136.88"
Component Femoral,"$11,113.80"
Component Femoral,"$17,000.00"
Component Femoral,"$12,672.00"
Component Femoral,"$10,290.15"
Component Femoral,"$3,675.00"
Component Femoral,"$8,950.47"
Component Femoral,"$17,375.00"
Component Femoral,"$13,794.00"
Component Femoral,"$1,507.00"
Component Femoral,"$3,892.53"
Component Femoral,"$8,492.94"
Component Femoral,"$9,430.44"
Component Femoral,"$14,454.84"
Component Femoral,$813.15
Component Femoral,"$10,265.70"
Component Femoral,"$19,648.13"
Component Femoral,"$15,346.13"
Component Femoral,"$14,367.60"
Component Femoral,"$13,608.75"
Component Femoral,"$12,239.97"
Component Femoral,"$11,631.00"
Component Femoral,"$15,622.05"
Component Femoral,"$14,008.50"
Component Femoral,"$28,608.75"
Component Femoral,"$14,563.95"
Component Femoral,"$13,738.50"
Component Femoral,"$8,100.00"
Component Femoral,"$8,915.28"
Component Femoral,"$19,608.50"
Component Femoral,"$17,850.00"
Component Femoral,"$8,250.00"
Component Femoral,"$11,550.00"
Component Femoral,"$34,447.05"
Component Femoral,"$16,553.53"
Component Femoral,"$10,829.25"
Component Femoral,"$25,636.50"
Component Femoral,"$25,305.00"
Component Femoral,"$19,467.50"
Component Femoral,"$20,659.50"
Component Femoral,"$10,512.00"
Component Femoral,"$12,863.70"
Component Femoral,"$16,431.75"
Component Femoral,"$7,824.60"
Component Femoral,"$2,612.00"
Component Femoral,"$11,848.50"
Component Femoral,"$10,348.20"
Component Femoral,$934.88
Component Femoral,"$3,734.68"
Component Femoral,"$14,163.00"
Component Femoral,"$3,886.75"
Component Femoral,"$5,675.08"
Component Femoral,"$15,822.50"
Component Femoral,"$28,800.00"
Component Femoral,"$4,308.50"
Component Femoral,"$2,636.00"
Component Femoral,"$2,464.00"
Component Femoral,"$1,888.60"
Component Femoral,"$5,267.50"
Component Femoral,"$26,088.75"
Component Femoral,"$27,956.25"
Component Femoral,"$28,379.25"
Component Femoral,"$6,174.00"
Component Femoral,"$7,380.00"
Component Femoral,"$10,556.16"
Component Femoral,"$14,717.25"
Component Femoral,"$17,851.00"
Component Glenoid,"$4,534.60"
Component Glenoid,"$6,395.38"
Component Glenoid,"$6,300.00"
Component Glenoid,"$9,796.50"
Component Glenoid,"$9,798.00"
Component Glenoid,"$8,871.75"
Component Glenoid,"$4,287.50"
Component Glenoid,"$4,954.95"
Component Glenoid,"$4,156.18"
Component Glenoid,"$12,376.35"
Component Glenosphere,"$5,756.63"
Component Glenosphere Adapter,"$5,537.00"
Component Head,"$3,170.20"
Component Head,"$3,234.18"
Component Head,"$3,745.00"
Component Head,"$9,796.50"
Component Humeral,"$5,404.00"
Component Humeral,"$2,798.60"
Component Humeral,"$23,050.00"
Component Neck Length Adapter,"$1,540.00"
Component Patella,"$2,798.00"
Component Patella,"$3,642.63"
Component Patella,"$3,268.13"
Component Patella,"$1,640.00"
Component Patella,"$2,240.00"
Component Patella,"$2,040.00"
Component Patella,"$2,200.00"
Component Patella,"$15,248.40"
Component Patella,$922.50
Component Patella,"$3,378.38"
Component Patella,"$6,037.50"
Component Patella,"$11,820.00"
Component Patella,"$3,410.47"
Component Patella,"$3,748.08"
Component Patella,"$3,346.00"
Component Patella,"$4,144.70"
Component Patella,"$4,231.33"
Component Patella,"$5,753.34"
Component Patella,"$3,583.13"
Component Patella,"$4,013.80"
Component Proximal,"$10,362.00"
Component Proximal,"$8,658.00"
Component Rotation,"$6,174.00"
Component Talar,"$20,162.50"
Component Talar,"$23,630.00"
Component Talar,"$10,053.00"
Component Talar,"$17,625.00"
Component Tibial,"$9,920.85"
Component Tibial,"$8,781.72"
Component Tibial,"$14,985.00"
Component Tibial,"$15,817.50"
Component Tibial,"$9,630.00"
Component Tibial,"$4,287.50"
Component Tibial,"$14,250.00"
Component Tibial,"$12,450.00"
Component Tibial,"$12,780.00"
Component Tibial,"$8,100.00"
Component Tibial,"$7,950.00"
Component Tibial,$670.50
Component Tibial,"$9,029.85"
Component Tibial,"$24,375.00"
Component Ulnar,"$13,053.00"
Component Unipolar,"$2,108.44"
Component Venous Outflow,"$9,075.00"
Comprehensive Metabolic Panel,$339.00
Concentration Infectious Agent,$68.00
Confirmation Drug Class 1 To 7 1,$160.00
Conj Estrogen 25mg I,"$2,261.75"
Conjugated Estrogen 0.3mg T(Premarin,$44.15
Conjugated Estrogen 0.45mg T(Premar,$55.30
Conjugated Estrogen 0.625mg T(Prema,$44.15
Conjugated Estrogen 0.9mg T(Premarin,$40.15
Conjugated Estrogen 1.25mg T(Premar,$44.15
Conjugated Estrogen 30g Vag Cr,"$2,366.80"
Connecting Nut,$114.45
Connector,"$5,687.50"
Connector,$494.00
Connector,$508.25
Connector,"$2,269.36"
Connector,"$2,532.20"
Connector,"$3,494.05"
Connector,"$4,916.10"
Connector Spinal,"$3,120.00"
Connector Spinal,"$5,388.25"
Connector Spinal,"$5,482.58"
Connector Spinal,"$4,701.03"
Connector Spinal,"$4,995.55"
Connector Spinal,"$4,298.00"
Connector Spinal,"$2,612.80"
Connector Spinal,"$2,840.00"
Connector Spinal,"$2,996.80"
Connector Spinal,"$4,781.60"
Connector Spinal,"$5,687.50"
Connector Spinal,"$5,845.00"
Connector Spinal,"$4,637.50"
Connector Spinal,"$4,299.47"
Connector Spinal,"$3,676.09"
Connector Spinal,"$4,413.50"
Connector Spinal,"$4,229.40"
Connector Spinal,"$4,781.80"
Connector Spinal,"$4,916.31"
Connector Spinal,"$3,494.05"
Cont Vent Daily,"$2,049.00"
Cont Vent Set Up And First Day,"$2,049.00"
Continuous Pulse Ox,$431.00
Continuous Tubing 2C8537S,$0.00
Contrast Lumason Used 1Ml,$26.20
Contrast Lumason Wasted 1Ml,$26.20
Contrast Visipaque 320 1Ml,$2.00
Contrast Visipaque 320 1Ml Wasted,$2.00
Controller,"$6,475.00"
Controller,"$3,937.50"
Controller,"$4,987.50"
Coombs Direct,$67.00
Copper,$120.00
Cord,"$9,027.00"
Cordocentesis,$863.00
Core,"$15,385.50"
Core,"$14,006.34"
Core,"$19,500.00"
Core Revision,"$4,620.00"
Coronary Thrombectomy,"$5,392.00"
Cortisol Total,$170.00
Cortisol Urine Free,$125.00
Cortisone 25mg T,$22.15
Cosyntropin 0.25mg I(Cortrosyn),$578.60
Cotinine Screen,$127.00
Coumadin,$131.00
Coupler,"$4,921.88"
Cpap Bipap Set Up And 1St Day,"$1,725.00"
Cpap Bipap Subsequent Day,"$1,725.00"
CR Exercise And Monitor,$130.00
CR Exercise Without Monitor,$130.00
CR Periph Art Dx Rehab,$130.00
Cranial Implant,$967.50
Cranial Implant,"$28,237.50"
Creatine Blood Point Of Care,$0.00
Creatinine Blood,$73.00
Creatinine Blood For Clearance,$0.00
Creatinine Clearance,$194.00
Creatinine Kinase Total,$159.00
Creatinine Other,$85.00
Crmp 5 Igg Wblot Csf,$356.00
Crmp 5 Igg Wblot Serum,$310.00
Cromolyn 10mg/mL 2mL Soln(Intal),$0.00
Cromolyn 4% 10mL Ophth Soln (Crolom),$259.80
Cromolyn Nasal Aer(Nasalcrom),$91.35
Cross Connector,"$5,340.16"
Crossmatch Electronic,$137.00
Crossmatch Ic Technique,$130.00
Crossmatch Inc Technique,$130.00
Crossmatch Is Technique,$130.00
Crp Cardio And Inflammatory,$134.00
Crp Synovial Fluid,$28.00
Cruciate Tibial,"$3,020.00"
Cryoglobulin Serum,$121.00
Cryoprecipitate,$157.00
Cryptococcus Antigen,$143.00
Cryptosporidium Antigen Eia,$109.00
Crystallization Test Amnio,$93.00
Csf Hematocrit,$51.00
CT Abdomen Pelvis W Contrast,"$2,858.00"
CT Abdomen Pelvis W Wo Contrast,"$3,298.00"
CT Abdomen Pelvis Wo Contrast,"$2,419.00"
CT Abdomen W Contrast,"$1,429.00"
CT Abdomen W Wo Contrast,"$1,649.00"
CT Abdomen Wo Contrast,"$1,209.00"
CT Ablation Guidance,"$2,638.00"
CT Angio Chest,"$1,649.00"
CT Angio Lower Extremity Lt,"$1,649.00"
CT Angio Lower Extremity Rt,"$1,649.00"
CT Angio Neck,"$1,649.00"
CT Angio Runoff,"$1,649.00"
CT Angio Upper Extremity Lt,"$1,649.00"
CT Angio Upper Extremity Rt,"$1,649.00"
CT Cervical Spine W Contrast,"$1,429.00"
CT Cervical Spine W Wo Contrast,"$1,649.00"
CT Cervical Spine Wo Contrast,"$1,209.00"
CT Chest Lung Screen,"$1,213.00"
CT Chest Part During Coro W Contr,"$1,143.00"
CT Chest Part During Coro Wo,$967.00
CT Chest Partial During Coro W Wo,"$1,319.00"
CT Chest Tube Placement W Thora,"$3,024.00"
CT Chest W Contrast,"$1,429.00"
CT Chest W Wo Contrast,"$1,649.00"
CT Denver Drain Placement,"$4,397.00"
CT Guidance,"$1,962.00"
CT Guide For Needle Biopsy,"$1,962.00"
CT Guided Abscess Drainage,"$3,925.00"
CT Guided Abscess Tube Change,"$3,925.00"
CT Guided Chest Tube Placement,"$3,925.00"
CT Guided Cholecyst Tube Placemnt,"$3,284.00"
CT Guided Denver Drain Place Peri,"$3,925.00"
CT Guided InjeCTion,"$1,962.00"
CT Guided Thoracentesis,"$2,914.00"
CT Guided Wire Localization,"$1,962.00"
CT Head W Contrast,"$1,429.00"
CT Head W Wo Contrast,"$1,649.00"
CT Head Wo Contrast,"$1,209.00"
CT Heart Tavr W Contrast,"$1,429.00"
CT Heart Tavr Wo Contrast,"$1,209.00"
CT Lower Ext Bilat Wo Contrast,"$2,418.00"
CT Lower Ext Lt W Contrast,"$1,429.00"
CT Lower Ext Lt W Wo Contrast,"$1,649.00"
CT Lower Ext Lt Wo Contrast,"$1,209.00"
CT Lower Ext Rt W Contrast,"$1,429.00"
CT Lower Ext Rt W Wo Contrast,"$1,649.00"
CT Lower Ext Rt Wo Contrast,"$1,209.00"
CT Lumbar Spine W Contrast,"$1,429.00"
CT Lumbar Spine W Wo Contrast,"$1,649.00"
CT Lumbar Spine Wo Contrast,"$1,209.00"
CT Maxillofacial W Contrast,"$1,429.00"
CT Maxillofacial W Wo Contrast,"$1,649.00"
CT Maxillofacial Wo Contrast,"$1,209.00"
CT Orbit Sella Fossa W Contrast,"$1,429.00"
CT Orbit Sella Fossa W Wo Contras,"$1,649.00"
CT Orbit Sella Fossa Wo Contrast,"$1,209.00"
CT Panel Miscellaneous,$0.00
CT Pelvis W Contrast,"$1,429.00"
CT Pelvis W Wo Contrast,"$1,649.00"
CT Pelvis Wo Contrast,"$1,209.00"
CT Radiation Therapy Planning,$0.00
CT Simulation Planning,$0.00
CT Sinuses Limited,$967.00
CT Soft Tissue Neck W Contrast,"$1,429.00"
CT Soft Tissue Neck W Wo Contrast,"$1,649.00"
CT Soft Tissue Neck Wo Contrast,"$1,209.00"
CT Thoracic Spine W Contrast,"$1,429.00"
CT Thoracic Spine W Wo Contrast,"$1,649.00"
CT Thoracic Spine Wo Contrast,"$1,209.00"
CT Thorax Wo Contrast,"$1,209.00"
CT Tube Change,"$1,213.00"
CT Upper Ext Bilat Wo Contrast,"$2,418.00"
CT Upper Ext Lt W Contrast,"$1,429.00"
CT Upper Ext Lt W Wo Contrast,"$1,649.00"
CT Upper Ext Lt Wo Contrast,"$1,209.00"
CT Upper Ext Rt W Contrast,"$1,429.00"
CT Upper Ext Rt W Wo Contrast,"$1,649.00"
CT Upper Ext Rt Wo Contrast,"$1,209.00"
CT Virtual Colonoscopy W Contrast,"$1,429.00"
CT Virtual Colonoscopy Wo Contras,"$1,209.00"
CTA Abdomen Pelvis W Contrast,"$3,298.00"
CTA Abdomen W Contrast,"$1,649.00"
CTA Coronary,"$1,649.00"
CTA Head W Contrast,"$1,649.00"
Culture Blood Catheter,$214.00
Culture Chlamydia,$84.00
Culture Influenza A B Rapid,$146.00
Culture Screening Only,$88.00
Culture Typing Chlamydia,$24.00
Culture Typing Direct Probe,$210.00
Cup,"$5,287.28"
Cup,"$7,643.85"
Cupric Cl (Copper) I 10mL,$119.55
Cyanocobalamin 1000mcg T (Vit B12),$0.00
Cyanocobalamin 1mg/mL I(Vit B12),$44.10
Cyanocobalamin 250mcg T(Vit B12),$0.00
Cyanocobalamin 500mcg T(Vit B12),$0.00
Cyclic Citrlline Peptide,$123.00
Cyclobenzaprine 10mg T(Flexeril),$10.00
Cyclobenzaprine 5mg T (Flexeril),$12.30
Cyclopentolate 1% 2mL OS(Cyclogyl),$10.00
Cyclopentolate-Phenyleph 0.2/1% Ophth Soln 5mL,$376.35
Cyclophosphamide 1g I,"$3,905.65"
Cyclophosphamide 25mg Cap,$74.90
Cyclophosphamide 2g I,"$7,624.35"
Cyclophosphamide 500mg I,"$2,046.40"
Cyclophosphamide 50mg Cap,$137.45
Cyclosporin Level,$120.00
cycloSPORINE 0.05% Ophth Susp UD,$68.30
cycloSPORINE 100mg C(SandIMMUNE),$107.45
cycloSPORINE 25mg C(SandIMMUNE),$18.45
cycloSPORINE ME 100mg/1mL L,$68.30
cycloSPORINE microemulsion 100mg C,$62.65
cycloSPORINE microemulsion 25mg C,$15.65
Cyproheptadine 4mg T(Periactin),$10.00
Cysteine 50mg/ml 10mL Inj,$80.15
Cystic Fibrosis Variants Panel,$560.00
Cytarabine 2000mg/20mL Inj,$201.10
Cytarabine LIPO 50mg/5 IT,"$16,192.60"
Cyto Fna Interp,$261.00
Cyto Gyn Thin Prep,$95.00
Cyto Non Gyn Conc Tech,$216.00
Cyto Non Gyn Other Source,$101.00
Cyto Non Gyn Smear,$177.00
Cytomegalovirus By Pcr,$169.00
Cytomegalovirus By Pcr,$96.00
Cytomegalovirus Dna,$213.00
Cytomegalovirus Igg,$118.00
Cytomegalovirus Igm,$118.00
Cytomegalovirus Igm,$37.00
D10W 1000mL,$100.00
D10W 250mL,$100.00
D20W Inj,$138.15
D5 .45NS+KCl 20mEq 1000mL,$100.00
D5.2 NS 1000mL,$100.00
D5.45NS+ KCl 10mEq 1000mL,$100.00
D50W 50mL,$50.00
D50W 50mL Inj Syr,$46.75
D5LR 1000 mL,$100.00
D5NS+20 mEq KCl/L,$100.00
D5W  250mL,$100.00
D5W  500mL,$100.00
D5W 100 mL,$50.00
D5W 1000ml,$100.00
D5W 250mL PVC free,$100.00
D5W 500mL PVC free,$100.00
D5W 50mL,$50.00
Dabigatran 150mg C (Pradaxa),$51.55
Dabigatran 75mg C (Pradaxa),$51.55
Dacarbazine 200mg/20mL Inj,$128.00
Daily Treatment Complex,"$1,186.00"
Daily Treatment Simple,$431.00
Dalbavancin 500mg Inj,"$11,236.85"
Dalteparin 2500 IU/0.2mL I(Fragmin),$160.30
Dalteparin 5000 IU/0.2mL I(Fragmin),$249.40
Danazol 200mg C,$72.85
